"year","total charges","total charges","total cases","total cases"
"year","number","percent change from previous year","number","percent change from previous year"
"2005/2006","180,585","..","57,467",".."
"2006/2007","185,409","2.7","57,482","0.0"
"2007/2008","191,194","3.1","58,710","2.1"
"2008/2009","194,142","1.5","58,968","0.4"
"2009/2010","189,494","-2.4","56,859","-3.6"
"2010/2011","181,835","-4.0","53,494","-5.9"
"2011/2012","171,264","-5.8","48,952","-8.5"
"2012/2013","159,702","-6.8","45,441","-7.2"
"2013/2014","141,560","-11.4","40,374","-11.2"
"2014/2015","120,907","-14.6","32,835","-18.7"
