"contestant","week","week","week","week","week","week","week","week","week","week","week","week","week","week","week"
"contestant","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15"
"ali","8.12%","9.40%","11.97%","15.38%","28.63%","28.63%","28.63%","28.63%","28.63%","28.63%","31.62%","33.76%","36.32%","37.61%","42.31%"
"roger","5.51%","6.34%","8.82%","12.12%","14.88%","17.08%","19.56%","23.97%","26.17%","28.65%","30.85%","33.33%","34.99%","35.54%","39.67%"
"kelly","4.80%","5.17%","8.49%","11.44%","11.44%","14.02%","16.97%","19.56%","21.77%","23.99%","25.46%","26.57%","29.15%","29.52%","34.32%"
"mark","5.96%","8.42%","12.63%","17.54%","19.30%","22.46%","24.56%","29.12%","29.47%","31.58%","34.04%","35.09%","36.49%","36.14%","40.70%"
"jay","4.44%","6.14%","8.53%","11.95%","13.65%","15.36%","16.72%","22.18%","24.57%","26.96%","28.67%","29.69%","31.40%","31.06%","none"
"dan","8.06%","10.65%","14.52%","14.84%","19.03%","21.29%","23.55%","27.10%","29.35%","31.94%","33.23%","35.81%","36.13%","none","none"
"brittany","4.52%","4.98%","8.14%","9.05%","9.95%","14.48%","14.93%","16.29%","19.00%","21.27%","22.17%","23.08%","none","none","none"
"maggie","4.18%","5.02%","7.53%","8.79%","11.72%","13.81%","14.64%","17.15%","20.50%","23.01%","23.01%","none","none","none","none"
"bernie","6.01%","7.77%","12.37%","14.84%","16.61%","21.20%","23.67%","25.44%","28.98%","31.10%","none","none","none","none","none"
"paul","4.29%","6.60%","11.22%","14.19%","13.20%","17.16%","20.46%","22.11%","none","none","none","none","none","none","none"
"trent","6.65%","8.03%","11.01%","13.99%","16.06%","18.12%","19.95%","none","none","none","none","none","none","none","none"
"jackie","6.10%","9.35%","12.20%","13.01%","16.26%","17.07%","none","none","none","none","none","none","none","none","none"
"jenn","4.72%","5.31%","7.09%","9.84%","12.20%","none","none","none","none","none","none","none","none","none","none"
"bette-sue","6.13%","8.43%","11.49%","14.18%","none","none","none","none","none","none","none","none","none","none","none"
"amanda","6.86%","6.86%","9.31%","none","none","none","none","none","none","none","none","none","none","none","none"
"neill","4.10%","5.99%","7.89%","none","none","none","none","none","none","none","none","none","none","none","none"
"curtis","5.77%","6.56%","none","none","none","none","none","none","none","none","none","none","none","none","none"
"mallory","6.45%","5.99%","none","none","none","none","none","none","none","none","none","none","none","none","none"
"lynn","4.65%","none","none","none","none","none","none","none","none","none","none","none","none","none","none"
"jenni","2.62%","none","none","none","none","none","none","none","none","none","none","none","none","none","none"
