"club","season","league","league","league","national cup","national cup","continental","continental","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"rosenborg","2009","tippeligaen","3","0","2","0","none","none","5","0","none","none"
"rosenborg","2010","tippeligaen","3","0","1","0","1","0","none","none","5","0"
"rosenborg","2011","tippeligaen","8","2","2","0","5","0","none","none","15","2"
"rosenborg","2012","tippeligaen","10","0","4","0","3","0","none","none","17","0"
"rosenborg","total","total","24","2","9","0","9","0","none","none","42","2"
"ranheim","2011","adeccoligaen","6","0","3","0","none","none","9","0","none","none"
"ranheim","total","total","6","0","3","0","none","none","none","none","9","0"
"brann","2012","tippeligaen","10","1","1","0","none","none","11","1","none","none"
"brann","2013","tippeligaen","9","0","0","0","none","none","9","0","none","none"
"brann","total","total","19","1","1","0","none","none","none","none","20","1"
"tromsø","2014","1. divisjon","30","2","3","0","4","3","none","none","37","5"
"tromsø","2015","tippeligaen","29","0","0","0","none","none","29","0","none","none"
"tromsø","2016","tippeligaen","26","2","3","0","none","none","29","2","none","none"
"tromsø","2017","eliteserien","27","6","2","0","none","none","29","6","none","none"
"tromsø","2018","eliteserien","25","2","2","0","none","none","27","2","none","none"
"tromsø","2019","eliteserien","3","0","0","0","none","none","3","0","none","none"
"tromsø","total","total","140","12","7","0","4","3","none","none","151","15"
"career total","career total","career total","189","15","20","0","13","3","none","none","222","18"
