"","model 1","model 1","model 2","model 2","model 3","model 3"
"","coefficient","bootstrap standard error","coefficient","bootstrap standard error","coefficient","bootstrap standard error"
"income quartile (reference group: first (bottom))","","","","","",""
"second","0.184","0.08","0.067","0.07","0.065","0.07"
"third","0.259","0.07","0.058","0.08","0.056","0.08"
"fourth","0.467","0.06","0.131","0.08","0.128","0.08"
"literacy score","..","..","0.057","0.06","..",".."
"numeracy score","..","..","..","..","0.043","0.06"
"education level","","","","","",""
"less than high school","..","..","0.072","0.15","0.075","0.15"
"non-university postsecondary","..","..","0.072","0.06","0.076","0.06"
"bachelor's degree","..","..","0.137","0.08","0.141","0.08"
"above a bachelor's degree","..","..","0.109","0.09","0.116","0.09"
"female","..","..","0.129","0.05","0.133","0.05"
"age","..","..","0.007","0.00","0.006","0.00"
"marital status","","","","","",""
"common-law","..","..","-0.077","0.06","-0.077","0.06"
"separated, divorced or widowed","..","..","-0.004","0.07","-0.006","0.07"
"single, never married","..","..","-0.125","0.08","-0.124","0.08"
"number of children aged 15 to 17 in the household","..","..","-0.065","0.04","-0.065","0.04"
"number of children aged 12 to 14 in the household","..","..","0.041","0.05","0.040","0.05"
"number of children younger than 12 in the household","..","..","0.040","0.03","0.040","0.03"
"province of residence","","","","","",""
"newfoundland and labrador","..","..","-0.216","0.10","-0.211","0.10"
"prince edward island","..","..","-0.083","0.17","-0.083","0.17"
"nova scotia","..","..","-0.033","0.08","-0.026","0.08"
"new brunswick","..","..","-0.170","0.08","-0.166","0.08"
"quebec","..","..","-0.137","0.06","-0.137","0.06"
"manitoba","..","..","-0.330","0.08","-0.326","0.08"
"saskatchewan","..","..","-0.192","0.07","-0.195","0.07"
"alberta","..","..","-0.167","0.07","-0.166","0.07"
"british columbia","..","..","-0.120","0.09","-0.118","0.09"
"tangible assets","","","","","",""
"$100,000 to less than $300,000","..","..","0.032","0.07","0.031","0.07"
"$300,000 to less than $500,000","..","..","0.032","0.07","0.032","0.07"
"$500,000 or more","..","..","0.081","0.08","0.082","0.08"
"missing value","..","..","-0.112","0.13","-0.111","0.13"
"registered retirement savings plan","","","","","",""
"more than $0 to less than $25,000","..","..","0.234","0.07","0.237","0.07"
"$25,000 or more","..","..","0.325","0.06","0.331","0.06"
"missing value","..","..","0.313","0.11","0.315","0.10"
"financial assets","","","","","",""
"more than $0 to less than $10,000","..","..","-0.010","0.06","-0.007","0.06"
"$10,000 to less than $30,000","..","..","0.190","0.07","0.192","0.07"
"$30,000 or more","..","..","0.024","0.07","0.025","0.07"
"missing value","..","..","0.022","0.10","0.021","0.10"
"business assets","","","","","",""
"business assets of any value","..","..","-0.013","0.06","-0.012","0.06"
"missing value","..","..","0.352","0.12","0.356","0.12"
"debts and liabilities","","","","","",""
"more than $0 to less than $50,000","..","..","0.042","0.08","0.043","0.08"
"$50,000 to less than $150,000","..","..","0.052","0.08","0.054","0.08"
"$150,000 to less than $250,000","..","..","0.086","0.09","0.088","0.09"
"$250,000 or more","..","..","0.014","0.09","0.014","0.09"
"missing value","..","..","0.071","0.14","0.071","0.13"
"double-counting flag","..","..","0.014","0.16","0.012","0.16"
"constant","0.343","0.06","-0.305","0.23","-0.264","0.23"
