"club","season","league","league","league","cup","cup","league cup","league cup","continental","continental","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"selangor","2007-08","malaysia super league","0","0","0","0","0","0","-","-","0","0"
"selangor","total","total","0","0","0","0","0","0","0","0","0","0"
"plus","2009","malaysia super league","0","1","0","0","0","0","-","-","0","0"
"plus","total","total","0","1","0","0","0","0","0","0","0","0"
"selangor","2010","malaysia super league","26","7","0","0","0","1","6","1","0","9"
"selangor","2011","malaysia super league","26","7","0","0","0","4","-","-","0","11"
"selangor","2012","malaysia super league","11","5","1","2","0","3","-","-","0","10"
"selangor","total","total","63","19","0","2","0","8","6","1","0","30"
"johor darul ta'zim","2013","malaysia super league","15","1","0","0","0","2","-","-","0","3"
"johor darul ta'zim","2014","malaysia super league","18","1","5","0","11","4","-","-","34","5"
"johor darul ta'zim","2015","malaysia super league","22","7","0","0","6","4","13","4","41","15"
"johor darul ta'zim","2016","malaysia super league","17","4","7","2","6","1","9","8","39","15"
"johor darul ta'zim","2017","malaysia super league","21","9","4","0","7","2","9","4","41","15"
"johor darul ta'zim","2018","malaysia super league","13","2","4","0","1","0","7","1","25","3"
"johor darul ta'zim","total","total","105","24","15","2","0","0","0","0","0","0"
"melaka united","2019","malaysia super league","3","2","0","0","0","0","-","-","3","2"
"melaka united","total","total","3","2","0","0","0","0","0","0","3","2"
"career total","career total","career total","0","0","0","0","0","0","0","0","0","0"
