"jurisdiction","total custody","total custody","total custody","total community services","total community services","total community services","total correctional services","total correctional services","total correctional services","total correctional services"
"jurisdiction","number","rate","percent change in rate from 2017/2018","number","rate","percent change in rate from 2017/2018","number","rate","percent change in rate from 2017/2018","percent change in rate from 2014/2015"
"newfoundland and labrador","10","3","-6","143","45","-18","153","48","-17","-30"
"prince edward island","3","3","-37","45","44","-14","47","47","-16","-56"
"nova scotia","12","2","-43",".",".",".",".",".",".","."
"new brunswick","15","3","5",".",".",".",".",".",".","."
"ontario","267","3","-3","2,257","24","-9","2,523","27","-9","-34"
"manitoba","155","16","-16","1,023","103","-15","1,177","119","-15","-34"
"saskatchewan","122","14","-9","831","99","-18","953","113","-17","-27"
"alberta","93","3","1","874","29","-6","967","32","-5","."
"british columbia","32","1","-35","480","16","15","512","17","10","-27"
"yukon","0","0","-53","8","34","89","8","34","84","-60"
"northwest territories","3","10","-17","26","77","55","30","88","41","-48"
"nunavut","5","11","24","26","63","-16","30","74","-12","-38"
"total-all jurisdictions","716","4","-10","5,713","32","-10","6,401","36","-10","-32"
