"club","season","league","league","league","cup","cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"colon","2005-06","argentine primera division","36","11","0","0","0","0","36","11"
"independiente","2006-07","argentine primera division","34","10","0","0","0","0","34","10"
"independiente","2007-08","argentine primera division","36","27","0","0","0","0","36","27"
"independiente","total","total","70","37","0","0","0","0","70","37"
"napoli","2008-09","serie a","34","8","0","0","4","2","38","10"
"napoli","2009-10","serie a","29","5","2","0","0","0","31","5"
"napoli","total","total","63","13","2","0","4","2","69","20"
"udinese","2010-11","serie a","25","4","2","1","0","0","27","5"
"udinese","2011-12","serie a","0","0","0","0","1","0","1","0"
"udinese","total","total","25","4","2","1","1","0","28","5"
"atalanta","2011-12","serie a","33","16","0","0","0","0","33","16"
"atalanta","2012-13","serie a","36","15","2","0","0","0","38","15"
"atalanta","2013-14","serie a","37","13","1","0","0","0","38","13"
"atalanta","2014-15","serie a","32","8","1","0","0","0","33","8"
"atalanta","2015-16","serie a","15","4","1","0","0","0","16","4"
"atalanta","total","total","153","56","5","0","0","0","158","56"
"independiente","2016","argentine primera division","15","3","2","0","1","0","18","3"
"independiente","2016-17","argentine primera division","11","2","0","0","1","0","12","2"
"independiente","total","total","26","5","2","0","2","0","30","5"
"lanus","2016-17","argentine primera division","6","3","0","0","5","1","11","4"
"lanus","2017-18","argentine primera division","11","2","2","0","3","0","16","2"
"lanus","total","total","17","5","2","0","8","1","26","6"
"career totals","career totals","career totals","390","131","13","1","15","3","418","135"
