"club","season","league","league","league","fa cup","fa cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"preston north end","2000-01","first division","1","0","0","0","1","0","0","0","2","0"
"preston north end","2003-04","first division","8","0","0","0","0","0","0","0","8","0"
"preston north end","2004-05","championship","23","1","1","0","2","0","0","0","26","1"
"preston north end","2006-07","championship","13","0","2","0","0","0","0","0","15","0"
"preston north end","2007-08","championship","43","0","3","0","0","0","0","0","46","0"
"preston north end","2008-09","championship","46","0","1","0","2","0","2","0","51","0"
"preston north end","2009-10","championship","45","0","2","0","3","0","0","0","50","0"
"preston north end","2010-11","championship","29","0","1","0","3","0","0","0","33","0"
"preston north end","total","total","208","1","10","0","11","0","2","0","231","1"
"darlington","2002-03","third division","2","0","0","0","0","0","0","0","2","0"
"wycombe wanderers","2005-06","league two","2","0","0","0","0","0","0","0","2","0"
"swindon town","2006-07","league two","1","0","0","0","0","0","0","0","1","0"
"leeds united","2011-12","championship","35","0","1","0","2","0","0","0","38","0"
"bolton wanderers","2012-13","championship","5","0","3","0","1","0","0","0","9","0"
"bolton wanderers","2013-14","championship","17","0","2","0","2","0","0","0","21","0"
"bolton wanderers","2014-15","championship","29","0","1","0","2","0","0","0","32","0"
"bolton wanderers","total","total","51","0","6","0","5","0","0","0","62","0"
"fulham","2015-16","championship","29","0","1","0","1","0","0","0","31","0"
"wolverhampton wanderers","2016-17","championship","11","0","0","0","3","0","0","0","14","0"
"wolverhampton wanderers u23","2016-17","-","-","-","1","0","1","0","none","none","none","none"
"leeds united","2017-18","championship","7","0","1","0","1","0","0","0","9","0"
"middlesbrough","2018-19","championship","0","0","0","0","2","0","2","0","4","0"
"rochdale","2018-19","league one","7","0","0","0","0","0","0","0","7","0"
"career total","career total","career total","352","1","18","0","25","0","6","0","401","1"
