"club","season","league1","league1","cup","cup","international2","international2","total","total"
"club","season","apps","goals","apps","goals","apps","goals","apps","goals"
"brisbane roar","2005-06","21","1","3","1","-","-","24","2"
"brisbane roar","2006-07","9","0","6","0","-","-","15","0"
"brisbane roar","2007-08","20","0","3","0","-","-","24","2"
"brisbane roar","2008-09","24","0","3","0","-","-","27","0"
"brisbane roar","2009-10","9","0","-","-","-","-","9","0"
"brisbane roar","2010-11","27","1","-","-","-","-","27","1"
"brisbane roar","2011-12","29","0","-","-","5","0","34","0"
"brisbane roar","2012-13","23","1","-","-","0","0","23","1"
"brisbane roar","total","162","3","15","1","5","0","182","4"
"melbourne city","2013-14","27","0","-","-","-","-","27","0"
"melbourne city","2014-15","17","0","1","0","-","-","18","0"
"melbourne city","total","44","0","1","0","0","0","45","0"
"career total","career total","206","3","16","1","5","0","227","4"
