"year","country","title","credited as","credited as","credited as","credited as","credited as","credited as"
"year","country","title","director","producer","actor","screenwriter","role","notes"
"1914","uk","the heroine of mons","none","none","yes","none","none","short"
"1917","uk","the happy warrior","none","none","yes","none","rollo","none"
"1919","uk","the lackey and the lady","none","none","yes","none","tony dunciman","none"
"1920","uk","twice two","none","yes","none","none","none","short"
"1920","uk","the bump","none","yes","none","none","none","short"
"1920","uk","bookworms","none","yes","yes","none","richard","short"
"1920","uk","five pounds reward","none","yes","yes","none","tony marchmont","short"
"1921","uk","two many cooks","none","yes","none","none","none","short"
"1921","uk","the temporary lady","none","yes","none","none","none","short"
"1930","us","outward bound","none","none","yes","none","tom prior","none"
"1931","us","never the twain shall meet","none","none","yes","none","dan pritchard","none"
"1931","us","a free soul","none","none","yes","none","dwight winthrop","none"
"1931","us","five and ten","none","none","yes","none","bertram "berry" rhodes","none"
"1931","us","devotion","none","none","yes","none","david trent","none"
"1932","uk","service for ladies","none","none","yes","none","max tracey","none"
"1932","us","smilin' through","none","none","yes","none","sir john carteret","none"
"1932","us","the animal kingdom","none","none","yes","none","tom collier","none"
"1933","us","secrets","none","none","yes","none","john carlton","none"
"1933","us","captured!","none","none","yes","none","captain fred allison","none"
"1933","us","berkeley square","none","none","yes","none","peter standish","none"
"1934","us","of human bondage","none","none","yes","none","philip carey","none"
"1934","uk","the lady is willing","none","none","yes","none","albert latour","none"
"1934","us","british agent","none","none","yes","none","stephen "steve" locke","none"
"1934","uk","the scarlet pimpernel","none","none","yes","none","sir percy blakeney","none"
"1936","us","the petrified forest","none","none","yes","none","alan squier","none"
"1936","us","romeo and juliet","none","none","yes","none","romeo","none"
"1937","us","it's love i'm after","none","none","yes","none","basil underwood","none"
"1937","us","stand-in","none","none","yes","none","atterbury dodd","none"
"1938","uk","pygmalion","yes","none","yes","none","professor henry higgins","none"
"1939","us","intermezzo","none","yes","yes","none","holger brandt","none"
"1939","us","gone with the wind","none","none","yes","none","ashley wilkes","none"
"1940","uk","common heritage","none","none","none","none","narrator","short"
"1941","uk",""pimpernel" smith","yes","yes","yes","none","professor horatio smith","none"
"1941","uk","49th parallel","none","none","yes","none","philip armstrong scott","none"
"1942","uk","the first of the few","yes","yes","yes","none","r. j. mitchell","none"
"1942","uk","from the four corners","none","none","none","yes","none","short"
"1942","uk","in which we serve","none","none","yes","none","narrator","uncredited"
"1943","uk","the gentle sex","yes","yes","yes","none","narrator","(final film role)"
"1943","uk","the lamp still burns","none","yes","none","none","none","final production"
