"club","season","league","league","league","cup","cup","league cup","league cup","europe","europe","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"mtk budapest","2011-12","nemzeti bajnoksag ii","2","0","0","0","1","0","0","0","3","0"
"mtk budapest","2012-13","nemzeti bajnoksag i","12","0","0","0","1","0","0","0","13","0"
"mtk budapest","2013-14","nemzeti bajnoksag i","21","4","4","0","2","0","0","0","27","4"
"mtk budapest","2014-15","nemzeti bajnoksag i","27","2","2","1","5","0","0","0","22","2"
"mtk budapest","2015-16","nemzeti bajnoksag i","33","1","1","0","0","0","2","0","36","1"
"mtk budapest","2016-17","nemzeti bajnoksag i","1","0","0","0","0","0","3","1","4","1"
"mtk budapest","total","total","84","6","6","1","9","0","5","1","104","8"
"le havre","2016-17","ligue 2","28","1","2","0","1","0","-","-","31","1"
"le havre","2017-18","ligue 2","31","1","0","0","1","0","-","-","32","0"
"le havre","2018-19","ligue 2","22","0","3","0","2","0","-","-","27","0"
"le havre","total","total","81","2","5","0","4","0","0","0","90","2"
"career total","career total","career total","165","8","11","1","13","0","5","1","194","10"
