"","online retail sales of non-medical cannabis","total retail sales of non-medical cannabis","proportion of total retail sales"
"","online retail sales of non-medical cannabis","total retail sales of non-medical cannabis","proportion of total retail sales"
"","unadjusted dollars","unadjusted dollars","percent"
"total","120,586","907,833","13.3"
"september 2019","7,120","121,453","5.9"
"august 2019","9,262","124,576","7.4"
"july 2019","7,808","106,065","7.4"
"june 2019","7,783","89,811","8.7"
"may 2019","8,657","82,384","10.5"
"april 2019","9,740","72,895","13.4"
"march 2019","11,123","59,350","18.7"
"february 2019","9,891","50,292","19.7"
"january 2019","11,061","53,294","20.8"
"december 2018","9,283","55,808","16.6"
"november 2018","11,692","52,322","22.3"
"october 2018","17,166","39,583","43.4"
