"selected student, family and school support characteristics","reporting mostly as on last report card","reporting mostly as on last report card","happy at school","happy at school","ever repeated a grade","ever repeated a grade","receiving help from a tutor","receiving help from a tutor"
"selected student, family and school support characteristics","adjusted odds ratios","95% confidence intervals","adjusted odds ratios","95% confidence intervals","adjusted odds ratios","95% confidence intervals","adjusted odds ratios","95% confidence intervals"
"school mobility","","","","","","","",""
"non-movers","1.00","..","1.00","..","1.00","..","1.00",".."
"movers","0.69","(0.41-1.16","0.70","(0.23-2.17","2.11","(1.12-3.97","1.53","(0.95-2.46"
"sex","","","","","","","",""
"male","1.00","..","1.00","..","1.00","..","1.00",".."
"female","2.13","(1.39-3.26","0.80","(0.27-2.38","0.46","(0.20-1.07","1.01","(0.67-1.51"
"registered indian status","","","","","","","",""
"non-status indian","1.00","..","1.00","..","1.00","..","1.00",".."
"status indian","1.28","(0.83-1.98","1.67","(0.59-4.73","1.63","(0.68-3.90","1.27","(0.85-1.90"
"age","1.17","(1.04-1.32","0.87","(0.69-1.10","1.27","(1.08-1.49","1.05","(0.93-1.18"
"diagnosed learning disability","","","","","","","",""
"yes","0.07","(0.03-0.15","0.36","(0.13-1.02","2.30","(1.09-4.88","8.39","(4.83-14.55"
"no","1.00","..","1.00","..","1.00","..","1.00",".."
"household income quartile","","","","","","","",""
"in lowest income quartile","1.00","..","1.00","..","1.00","..","1.00",".."
"not in lowest income quartile","1.25","(0.71-2.21","0.86","(0.27-2.75","0.65","(0.30-1.38","0.73","(0.42-1.25"
"living arrangements of student","","","","","","","",""
"with two parents","1.00","..","1.00","..","1.00","..","1.00",".."
"with one parent","1.13","(0.61-2.11","0.25","(0.08-0.75","0.61","(0.20-1.84","1.09","(0.68-1.77"
"with other relatives, non-relatives only or foster parent(s) only","0.90","(0.50-1.64","0.61","(0.16-2.29","0.92","(0.40-2.08","1.28","(0.72-2.26"
"highest level of parental education","","","","","","","",""
"two parents/guardians have high school graduation or more","1.00","..","1.00","..","1.00","..","1.00",".."
"one parent/guardian has high school graduation or more","0.62","(0.37-1.06","0.78","(0.24-2.52","2.55","(1.08-6.04","1.22","(0.79-1.88"
"no parent/guardian has high school graduation or more","0.58","(0.24-1.43","0.47","(0.10-2.25","0.83","(0.32-2.13","1.22","(0.59-2.54"
"residence","","","","","","","",""
"rural area","1.00","..","1.00","..","1.00","..","1.00",".."
"population centre","0.60","(0.38-0.96","0.87","(0.33-2.33","0.55","(0.29-1.03","1.29","(0.83-1.99"
"school supports aboriginal culture","","","","","","","",""
"strongly agree/agree","1.00","..","1.00","..","1.00","..","1.00",".."
"disagree/strongly disagree","1.18","(0.76-1.82","0.56","(0.21-1.49","2.11","(1.13-3.96","0.73","(0.45-1.18"
