"club","season","league","league","league","playoffs","playoffs","cup","cup","continental","continental","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"metrostars","2003","mls","28","3","2","0","5","0","-","-","35","3"
"metrostars","2004","mls","26","1","2","0","0","0","-","-","28","1"
"metrostars","total","total","54","4","4","0","5","0","0","0","63","4"
"san jose earthquakes","2005","mls","30","3","2","1","0","0","-","-","32","4"
"houston dynamo","2006","mls","31","2","3","0","2","0","-","-","36","2"
"houston dynamo","2007","mls","19","2","0","0","0","0","4","0","23","2"
"houston dynamo","2008","mls","25","2","2","0","0","0","14","1","41","3"
"houston dynamo","2009","mls","22","1","3","0","0","0","4","0","29","1"
"houston dynamo","total","total","97","7","8","0","2","0","22","1","129","8"
"eintracht frankfurt","2009-10","bundesliga","3","0","-","-","0","0","-","-","3","0"
"eintracht frankfurt","2010-11","bundesliga","11","0","-","-","1","0","-","-","12","0"
"eintracht frankfurt","2011-12","2. bundesliga","1","0","-","-","0","0","-","-","1","0"
"eintracht frankfurt","total","total","15","0","0","0","1","0","0","0","16","0"
"stabæk","2012","tippeligaen","12","0","-","-","1","0","2","0","15","0"
"houston dynamo","2012","mls","11","1","5","0","0","0","2","0","18","1"
"houston dynamo","2013","mls","30","4","4","1","1","0","1","0","36","5"
"houston dynamo","2014","mls","25","4","-","-","0","0","-","-","25","4"
"houston dynamo","2015","mls","30","8","-","-","3","1","-","-","33","9"
"houston dynamo","2016","mls","32","4","-","-","1","0","-","-","33","4"
"houston dynamo","2017","mls","28","0","2","0","0","0","-","-","30","0"
"houston dynamo","total","total","156","21","11","1","5","1","3","0","175","23"
"columbus crew sc","2018","mls","13","1","0","0","0","0","-","-","13","1"
"columbus crew sc","2019","mls","5","0","0","0","0","0","-","-","5","0"
"columbus crew sc","total","total","18","1","0","0","0","0","0","0","18","1"
"career total","career total","career total","382","36","25","2","14","1","27","1","448","40"
