"","mortality","mortality","mortality","mortality","trend analysis","trend analysis","trend analysis","trend analysis","trend analysis"
"","number of deaths","asmr","95% confidence interval","95% confidence interval","period","annual percent change in asmr","95% confidence interval","95% confidence interval","p-value"
"","number of deaths","asmr","from","to","period","annual percent change in asmr","from","to","p-value"
"all","850","0.60","0.56","0.64","1992 to 2016","0.3","-0.4","1.0","0.417"
"sex","","","","","","","","",""
"female","455","0.58","0.52","0.63","1992 to 2016","-0.3","-1.1","0.6","0.487"
"male","395","0.62","0.56","0.68","1992 to 2016","1.2","0.2","2.3","0.021"
"age group","","","","","","","","",""
"44 and younger","25","0.03","0.02","0.05",".",".",".",".","."
"45 to 54","55","0.27","0.20","0.35","1992 to 2016","-0.9","-3.0","1.2","0.388"
"55 to 64","130","0.73","0.61","0.86","1992 to 2016","-0.7","-2.1","0.8","0.357"
"65 to 74","220","1.89","1.65","2.16","1992 to 2016","0.2","-1.1","1.5","0.763"
"75 or older","415","4.56","4.13","5.02","1992 to 2016","0.9","0.1","1.7","0.033"
"province","","","","","","","","",""
"british columbia","145","0.55","0.46","0.63","1992 to 2016","-0.5","-1.7","0.8","0.451"
"alberta","110","0.66","0.54","0.79","1992 to 2016","0.3","-1.5","2.2","0.709"
"saskatchewan","35","0.56","0.38","0.79","1992 to 2016","-0.5","-3.0","2.1","0.702"
"manitoba","50","0.75","0.55","1.00","1992 to 2016","0.5","-2.1","3.1","0.701"
"ontario","415","0.58","0.52","0.64","1992 to 2016","0.2","-0.7","1.1","0.687"
"new brunswick","25","0.57","0.37","0.85",".",".",".",".","."
"nova scotia","40","0.73","0.52","1.01","1992 to 2016","2.0","-0.4","4.4","0.100"
"prince edward island","5","0.58","0.19","1.48",".",".",".",".","."
"newfoundland and labrador","25","0.81","0.52","1.22","1992 to 2016","2.6","-0.6","5.8","0.103"
