"club","season","league","league","league","national cup","national cup","league cup","league cup","continental","continental","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"dustlik","2001","uzbek league","12","0","none","none","-","-","none","none","-","-","12","0"
"pakhtakor tashkent","2002","uzbek league","23","9","none","none","-","-","none","none","-","-","23","9"
"cska moscow","2003","russian premier league","2","1","1","0","1","0","0","0","1","0","5","1"
"cska moscow","2004","russian premier league","0","0","0","0","none","none","0","0","none","none","0","0"
"cska moscow","2005","russian premier league","0","0","0","0","none","none","0","0","none","none","0","0"
"cska moscow","total","total","2","1","1","0","1","0","0","0","1","0","5","1"
"pakhtakor tashkent","2005","uzbek league","12","5","none","none","-","-","none","none","-","-","12","5"
"torpedo moscow","2005","russian premier league","11","0","none","none","none","none","11","0","none","none","none","none"
"torpedo moscow","2006","russian premier league","10","0","none","none","none","none","10","0","none","none","none","none"
"torpedo moscow","total","total","21","0","none","none","none","none","none","none","none","none","21","0"
"pakhtakor tashkent","2007","uzbek league","26","16","none","none","-","-","none","none","-","-","26","16"
"pakhtakor tashkent","2008","uzbek league","25","12","none","none","-","-","none","none","-","-","25","12"
"pakhtakor tashkent","2009","uzbek league","21","13","none","none","-","-","2","0","-","-","23","13"
"pakhtakor tashkent","2010","uzbek league","22","11","1","1","-","-","3","1","-","-","26","13"
"pakhtakor tashkent","total","total","94","49","none","none","none","none","none","none","none","none","94","49"
"suwon samsung bluewings","2011","k league","19","3","1","0","-","-","3","0","-","-","23","3"
"emirates club","2011-12","uae pro-league","6","2","1","1","-","-","7","3","none","none","none","none"
"aktobe","2012","kazakhstan premier league","13","6","4","1","none","none","5","1","none","none","22","8"
"aktobe","2013","kazakhstan premier league","26","6","3","0","none","none","7","1","none","none","36","7"
"aktobe","2014","kazakhstan premier league","13","3","2","0","none","none","0","0","none","none","15","3"
"aktobe","total","total","52","15","9","1","none","none","12","2","none","none","73","18"
"lokomotiv tashkent","2014","uzbek league","11","7","1","0","-","-","0","0","-","-","11","7"
"ordabasy","2015","kazakhstan premier league","22","3","1","0","none","none","2","0","none","none","25","3"
"ordabasy","2016","kazakhstan premier league","20","10","2","0","none","none","2","1","none","none","24","11"
"ordabasy","2017","kazakhstan premier league","16","0","2","0","none","none","0","0","none","none","18","0"
"ordabasy","total","total","58","13","5","0","none","none","4","1","none","none","67","14"
"career total","career total","career total","310","104","none","none","none","none","none","none","none","none","310","104"
