"relationship type","closest accused to victim relationship","closest accused to victim relationship","closest accused to victim relationship","closest accused to victim relationship","closest accused to victim relationship","closest accused to victim relationship","closest accused to victim relationship","closest accused to victim relationship"
"relationship type","2018","2018","2018","2017r","2017r","2017r","average 2008 to 2017","average 2008 to 2017"
"relationship type","number of victims","percent","rate","number of victims","percent","rate","number of victims","percent"
"family relationship","138","33.1","0.37","145","30.2","0.40","148","32.4"
"spousal relationship","62","14.9","..","53","11.0","..","62","13.5"
"legal husband/wife","23","5.5","..","16","3.3","..","22","4.8"
"common-law husband/wife","30","7.2","..","23","4.8","..","25","5.4"
"separated or divorced husband/wife","2","0.5","..","8","1.7","..","7","1.5"
"separated common-law husband/wife","5","1.2","..","5","1.0","..","7","1.4"
"same-sex spouse","2","0.5","..","1","0.2","..","2","0.3"
"other family relationship","76","18.2","..","92","19.2","..","86","18.8"
"father or mother","16","3.8","..","25","5.2","..","25","5.5"
"son or daughter","30","7.2","..","34","7.1","..","28","6.0"
"sibling","7","1.7","..","6","1.3","..","10","2.1"
"extended family","23","5.5","..","27","5.6","..","24","5.1"
"intimate relationship","25","6.0","..","28","5.8","..","24","5.2"
"acquaintance","140","33.6","0.38","155","32.3","0.42","166","36.3"
"close friend","38","9.1","..","33","6.9","..","33","7.2"
"neighbour","15","3.6","..","25","5.2","..","15","3.3"
"authority or reverse authority figure","1","0.2","..","1","0.2","..","3","0.7"
"business relationship","6","1.4","..","5","1.0","..","8","1.7"
"casual acquaintance","80","19.2","..","91","19.0","..","107","23.3"
"criminal relationship","33","7.9","0.09","64","13.3","0.18","44","9.6"
"stranger","81","19.4","0.22","88","18.3","0.24","76","16.5"
"unknown relationship","18","..","..","6","..","..","4",".."
"total solved homicides","435","100.0","..","486","100.0","..","463","100.0"
"unsolved homicides","216","..","..","180","..","..","124",".."
"total homicides","651","..","..","666","..","..","586",".."
