"no","pos","nat","player","total","total","third division","third division","challenge cup","challenge cup","league cup","league cup","scottish cup","scottish cup"
"no","pos","nat","player","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"none","gk","australia","scott bennett","9","0","8+0","0","1+0","0","0+0","0","0+0","0"
"none","gk","scotland","michael fraser","1","0","1+0","0","0+0","0","0+0","0","0+0","0"
"none","gk","italy","daniele giordano","6","0","3+0","0","0+0","0","0+0","0","3+0","0"
"none","gk","argentina","ramiro gonzalez","14","0","14+0","0","0+0","0","0+0","0","0+0","0"
"none","gk","scotland","sandy wood","14","0","10+0","0","0+0","0","1+0","0","2+1","0"
"none","df","scotland","kyle benedictus","5","0","5+0","0","0+0","0","0+0","0","0+0","0"
"none","df","scotland","dougie cameron","29","2","26+0","2","0+0","0","0+0","0","3+0","0"
"none","df","scotland","alan campbell","37","2","31+0","2","1+0","0","1+0","0","4+0","0"
"none","df","scotland","sean crighton","40","1","31+2","1","1+0","0","1+0","0","3+2","0"
"none","df","scotland","stephen mcnally","38","1","30+1","1","1+0","0","1+0","0","5+0","0"
"none","df","scotland","gordon pope","28","1","21+1","0","1+0","0","0+0","0","5+0","1"
"none","df","scotland","aaron sinclair","41","4","31+4","3","0+0","0","1+0","0","5+0","1"
"none","df","scotland","daniel stuart","1","0","0+1","0","0+0","0","0+0","0","0+0","0"
"none","df","scotland","steven tweed","9","0","6+0","0","0+0","0","1+0","0","2+0","0"
"none","mf","scotland","jonathan crawford","20","1","18+1","1","0+0","0","0+0","0","1+0","0"
"none","mf","scotland","hugh davidson","25","0","18+3","0","1+0","0","1+0","0","1+1","0"
"none","mf","scotland","sean fleming","5","0","0+2","0","1+0","0","0+1","0","0+1","0"
"none","mf","scotland","chris hegarty","28","2","18+6","1","1+0","0","0+0","0","2+1","1"
"none","mf","scotland","terry masson","18","3","13+2","3","0+0","0","1+0","0","2+0","0"
"none","mf","scotland","ross mccord","39","5","28+5","4","0+0","0","0+1","0","5+0","1"
"none","mf","scotland","fraser milligan","15","0","6+6","0","0+0","0","0+1","0","2+0","0"
"none","mf","scotland","nicky smith","18","2","6+8","2","1+0","0","1+0","0","2+0","0"
"none","mf","scotland","paul watson","11","1","2+6","1","0+0","0","0+0","0","0+3","0"
"none","fw","scotland","martin boyle","28","4","9+14","3","0+0","0","0+0","0","1+4","1"
"none","fw","scotland","james collier","2","0","0+1","0","0+1","0","0+0","0","0+0","0"
"none","fw","scotland","simon murray","1","0","0+1","0","0+0","0","0+0","0","0+0","0"
"none","fw","scotland","daryl nicol","27","4","9+14","4","1+0","0","1+0","0","1+1","0"
"none","fw","scotland","sean pierce","7","2","5+2","2","0+0","0","0+0","0","0+0","0"
"none","fw","scotland","connor thompson","33","5","24+7","5","0+0","0","0+0","0","1+1","0"
"none","fw","scotland","paul tosh","35","18","26+2","12","1+0","0","1+0","0","5+0","6"
