"club","season","league","league","league","cup","cup","continental","continental","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"central espanol","2008-09","primera division","7","0","-","-","0","0","7","0","none","none"
"el tanque sisley","2009-10","segunda division","18","2","-","-","0","0","18","2","none","none"
"parana","2010","serie b","3","0","0","0","-","-","0","0","3","0"
"parana","2011","serie b","1","0","1","0","-","-","7","0","9","0"
"parana","total","total","4","0","1","0","-","-","7","0","12","0"
"j. malucelli","2011","campeonato paranaense","-","-","0","0","-","-","17","0","17","0"
"cerrito","2012-13","segunda division","17","2","-","-","0","0","17","2","none","none"
"cerro","2013-14","primera division","16","0","-","-","0","0","16","0","none","none"
"cerro largo","2014-15","segunda division","20","3","-","-","0","0","20","3","none","none"
"rentistas","2015-16","primera division","18","0","-","-","0","0","18","0","none","none"
"progreso","2016","segunda division","9","0","-","-","0","0","9","0","none","none"
"progreso","2017","segunda division","24","1","-","-","3","0","27","1","none","none"
"progreso","2018","primera division","5","0","-","-","0","0","5","0","none","none"
"progreso","2019","primera division","0","0","-","-","0","0","0","0","none","none"
"progreso","total","total","38","1","-","-","3","0","41","1","none","none"
"career total","career total","career total","138","6","1","0","-","-","27","0","166","6"
