"club","season","division","league","league","fa cup","fa cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"bury","1973-74","fourth division","15","0","0","0","1","1","16","1"
"nottingham forest","1974-75","second division","0","0","0","0","0","0","0","0"
"doncaster rovers","1975-76","fourth division","43","9","1","0","5","0","49","9"
"doncaster rovers","1976-77","fourth division","46","5","2","1","4","0","52","6"
"doncaster rovers","1977-78","fourth division","35","0","1","0","2","0","38","0"
"doncaster rovers","total","total","124","14","4","1","11","0","139","15"
"swindon town","1978-79","third division","44","3","4","0","4","2","52","5"
"swindon town","1979-80","third division","40","2","6","2","11","0","57","4"
"swindon town","1980-81","third division","43","4","2","0","5","0","50","4"
"swindon town","total","total","127","9","12","2","20","2","159","13"
"blackburn rovers","1981-82","second division","42","3","1","0","3","0","46","3"
"blackburn rovers","1982-83","second division","32","4","1","0","1","0","34","4"
"blackburn rovers","1983-84","second division","36","3","1","0","2","1","39","4"
"blackburn rovers","1984-85","second division","38","4","4","0","2","0","44","4"
"blackburn rovers","1985-86","second division","38","1","3","0","1","0","42","1"
"blackburn rovers","1986-87","second division","28","0","1","0","4","1","33","1"
"blackburn rovers","1987-88","second division","23","0","0","0","2","0","25","0"
"blackburn rovers","1988-89","second division","31","1","2","0","7","0","40","1"
"blackburn rovers","total","total","264","16","13","0","23","2","300","18"
"port vale","1989-90","second division","21","1","0","0","3","0","24","1"
"scunthorpe united","1990-91","fourth division","12","0","4","0","2","0","18","0"
"career total","career total","career total","567","40","33","3","60","5","660","48"
