"agricultural regions","first official language spoken","first official language spoken","first official language spoken","first official language spoken","first official language spoken","first official language spoken","first official language spoken"
"agricultural regions","english","french","other","english","french","other","total"
"agricultural regions","number","number","number","percent","percent","percent","total"
"abitibi-temiscamingue nord-du-quebec","0","1,415","0","0.0","99.3","0.0","1,425"
"outaouais","585","830","0","41.2","58.5","0.0","1,420"
"laurentides","370","3,845","0","8.8","91.0","0.0","4,225"
"lanaudiere","55","4,355","0","1.2","98.6","0.0","4,415"
"montreal - laval","580","1,650","90","24.9","71.0","3.9","2,325"
"monteregie","1,475","15,610","30","8.6","91.2","0.2","17,115"
"mauricie","0","2,550","0","0.0","99.8","0.0","2,555"
"centre-du-quebec","155","8,615","0","1.8","98.2","0.0","8,775"
"estrie","665","4,620","0","12.6","87.3","0.0","5,290"
"quebec","85","2,680","0","3.1","96.9","0.0","2,765"
"chaudiere-appalaches","45","9,995","0","0.4","99.6","0.0","10,040"
"bas-saint-laurent","0","4,945","0","0.0","99.8","0.0","4,955"
"saguenay lac-saint-jean cote-nord","0","3,160","0","0.0","99.8","0.0","3,165"
"gaspesie iles-de-la-madeleine","30","615","0","4.6","94.6","0.0","650"
