"club","season","league","league","league","cup","cup","continental","continental","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"paulista","2005","serie b","none","none","2","0","none","none","none","none","2","0"
"paulista","2006","serie b","none","none","none","none","6","0","none","none","6","0"
"paulista","2007","serie b","none","none","none","none","none","none","none","none","0","0"
"paulista","total","total","0","0","2","0","6","0","0","0","8","0"
"al wahda","2007-08","uae arabian gulf league","10","0","none","none","none","none","none","none","10","0"
"al wahda","total","total","10","0","0","0","0","0","0","0","10","0"
"gremio","2008","serie a","35","2","none","none","1","0","none","none","36","2"
"gremio","2009","serie a","31","5","none","none","1","0","none","none","32","5"
"gremio","2010","serie a","none","none","none","none","none","none","3","0","3","0"
"gremio","total","total","66","7","0","0","2","0","3","0","71","7"
"wolfsburg","2009-10","bundesliga","0","0","none","none","1","0","none","none","1","0"
"wolfsburg","total","total","0","0","0","0","1","0","0","0","1","0"
"atletico mineiro","2010","serie a","18","2","none","none","none","none","none","none","18","2"
"atletico mineiro","2011","serie a","30","4","4","0","2","0","4","0","40","4"
"atletico mineiro","2012","serie a","28","6","4","1","none","none","14","0","46","7"
"atletico mineiro","2013","serie a","23","0","2","0","12","2","12","5","49","7"
"atletico mineiro","2014","serie a","7","1","none","none","4","0","1","0","8","0"
"atletico mineiro","total","total","106","13","10","1","18","2","31","5","161","20"
"internacional","2015","serie a","17","2","2","0","6","1","7","0","32","3"
"internacional","2016","serie a","none","none","none","none","none","none","8","0","8","0"
"internacional","total","total","17","2","2","0","6","1","15","0","38","3"
"flamengo","2016","serie a","29","2","none","none","1","0","none","none","30","2"
"flamengo","2017","serie a","25","5","7","0","13","2","14","0","59","7"
"flamengo","2018","serie a","26","2","6","0","6","0","6","0","44","2"
"flamengo","total","total","80","9","13","0","20","2","20","0","133","11"
"career total","career total","career total","279","31","25","1","53","5","69","5","422","41"
