"","reasons for hunting, fishing or trapping in the previous 12 months","reasons for hunting, fishing or trapping in the previous 12 months","reasons for hunting, fishing or trapping in the previous 12 months","reasons for hunting, fishing or trapping in the previous 12 months","reasons for hunting, fishing or trapping in the previous 12 months","reasons for hunting, fishing or trapping in the previous 12 months","reasons for gathering wild plants or berries in the previous 12 months","reasons for gathering wild plants or berries in the previous 12 months","reasons for gathering wild plants or berries in the previous 12 months","reasons for gathering wild plants or berries in the previous 12 months","reasons for gathering wild plants or berries in the previous 12 months","reasons for gathering wild plants or berries in the previous 12 months"
"","for pleasure or leisure","own use/family's use","to share with others in the community","for cultural reasons","for money or to supplement income","for some other reason","for pleasure or leisure","own use/family's use","to share with others in the community","for cultural reasons","for money or to supplement income","for some other reason"
"","percent","percent","percent","percent","percent","percent","percent","percent","percent","percent","percent","percent"
"sex","","","","","","","","","","","",""
"males","81","84","42","37","5","9","67","91","48","44","5","9"
"females","81","86","37","38","2","9","75","94","51","51","3","10"
"age group","","","","","","","","","","","",""
"15 to 24 years","80","76","37","32","5","10","69","88","45","42","5","10"
"25 to 54 years","81","86","40","39","3","8","71","92","50","49","3","8"
"55 years or older","81","89","44","40","5","10","74","96","54","51","3","11"
"labour force status","","","","","","","","","","","",""
"employed","84","84","37","36","3","8","72","92","50","49","3","9"
"unemployed","72","84","58","48","9","11","69","92","55","54","8","12"
"out of the labour force","77","87","39","37","5","8","71","94","49","47","4","9"
"place of residence","","","","","","","","","","","",""
"urban","83","84","39","37","3","8","72","92","49","50","3","9"
"rural","77","86","41","38","5","10","70","94","51","45","4","10"
