"club","season","league","league","league","federation cup","federation cup","durand cup","durand cup","afc","afc","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"pune","2011-12","i-league","23","0","0","0","0","0","-","-","23","0"
"pune","2012-13","i-league","26","0","3","0","2","0","-","-","31","0"
"pune","2013-14","i-league","17","0","3","0","0","0","4","0","24","0"
"pune","2014-15","i-league","10","0","0","0","0","0","-","-","10","0"
"pune","total","total","76","0","6","0","2","0","4","-","88","0"
"delhi dynamos","2015","indian super league","14","1","-","-","-","-","-","-","14","1"
"delhi dynamos","2016","indian super league","9","0","-","-","-","-","-","-","9","0"
"delhi dynamos","total","total","23","1","-","-","-","-","-","-","23","1"
"mohun bagan","2016-17","i-league","8","0","-","-","-","-","-","-","8","0"
"jamshedpur","2017-18","indian super league","8","0","2","0","-","-","-","-","10","0"
"career total","career total","career total","115","1","8","0","2","0","4","0","129","1"
