"","linked cctlp tumour cohort","tumours with one or more surgical interventions","tumours with one or more surgical interventions"
"","number","number","percent"
"canada","14,990","13,590","91"
"newfoundland and labrador","380","355","94"
"prince edward island","105","100","92"
"nova scotia","845","785","93"
"new brunswick","675","620","92"
"ontario","6,055","5,360","88"
"manitoba","765","675","88"
"saskatchewan","740","680","92"
"alberta","2,090","1,910","92"
"british columbia","3,315","3,075","93"
"yukon","15","15","88"
"northwest territories","x","x","x"
"nunavut","x","x","x"
