"club","season","serie a","serie a","copa do brasil","copa do brasil","continental competitions1","continental competitions1","other tournaments2","other tournaments2","total","total","friendlies","friendlies","overall total","overall total"
"club","season","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"sinop","1990","-","-","20","0","20","0","-","-","20","0","none","none","none","none"
"sao paulo","","","","","","","","","","","","","","",""
"sao paulo","1993","1","0","0","0","0","0","2","0","3","0","10","0","13","0"
"sao paulo","1994","5","0","0","0","8","0","8","0","21","0","2","0","23","0"
"sao paulo","1995","4","0","4","0","0","0","12","0","20","0","2","0","22","0"
"sao paulo","1996","0","0","0","0","2","0","2","0","4","0","2","0","6","0"
"sao paulo","1997","25","2","4","0","9","0","29","1","67","3","4","0","71","3"
"sao paulo","1998","22","0","6","0","5","0","24","2","57","2","1","1","58","3"
"sao paulo","1999","23","1","3","0","8","1","24","3","58","5","5","0","63","5"
"sao paulo","2000","24","3","12","1","5","0","32","3","73","7","2","1","75","8"
"sao paulo","2001","22","0","6","0","4","0","24","2","56","2","0","0","56","2"
"sao paulo","2002","21","1","8","1","0","0","21","3","50","5","1","0","51","5"
"sao paulo","2003","40","2","6","0","8","0","11","0","65","2","2","0","67","2"
"sao paulo","2004","44","3","0","0","16","2","9","0","69","5","2","0","71","5"
"sao paulo","2005","38","10","0","0","18","6","19","5","75","21","0","0","75","21"
"sao paulo","2006","29","8","0","0","15","3","13","5","57","16","0","0","57","16"
"sao paulo","2007","35","7","0","0","13","1","20","2","68","10","0","0","68","10"
"sao paulo","2008","35","4","0","0","11","0","21","1","67","5","0","0","67","5"
"sao paulo","2009","16","2","0","0","3","0","15","0","34","2","0","0","34","2"
"sao paulo","2010","38","4","0","0","12","1","20","3","70","8","0","0","70","8"
"sao paulo","2011","36","2","7","0","4","0","21","6","68","8","0","0","68","8"
"sao paulo","2012","24","3","0","0","10","1","0","0","34","4","0","0","34","4"
"sao paulo","2013","35","2","0","0","18","3","14","1","67","6","3","0","70","6"
"sao paulo","2014","35","8","6","1","8","0","14","1","63","10","2","0","65","10"
"sao paulo","2015","23","3","5","1","8","0","15","4","51","8","2","0","53","8"
"sao paulo","total","575","65","67","4","185","18","370","42","1197","129","40","2","1237","131"
"career total","career total","575","65","67","4","185","18","390","42","1217","129","40","2","1257","131"
