"selected perception","aboriginal people","non-aboriginal people"
"selected perception","percent","percent"
"satisfaction with personal safety from crime","",""
"very satisfied or satisfied","85","88"
"neither satisfied nor dissatisfied","8","8"
"dissatisfied or very dissatisfied","6","3"
"crime in neighbourhood compared with other areas in canada","",""
"higher","7","4"
"about the same","20","20"
"lower","72","74"
"activity of crime in neighbourhood over the past five years","",""
"increased","16","11"
"decreased","11","9"
"remained the same","69","74"
"feeling of safety when walking alone at night","",""
"very safe","50","44"
"reasonably safe","28","34"
"somewhat unsafe","5","5"
"very unsafe","2","1"
"does not walk alone","15","15"
"feeling of safety when alone in your home in the evening or at night","",""
"very worried about your safety from crime","1","1"
"somewhat worried about your safety from crime","11","10"
"not at all worried about your safety from crime","80","84"
"never alone","7","6"
