"","2010","2011","2012","2013","2014","2011","2012","2013","2014"
"","number of jobs","number of jobs","number of jobs","number of jobs","number of jobs","percentage change","percentage change","percentage change","percentage change"
"canada","625,206","632,288","628,663","635,870","630,483","1.1","-0.6","1.1","-0.8"
"newfoundland and labrador","5,348","5,282","5,360","5,042","5,042","-1.2","1.5","-5.9","0.0"
"prince edward island","1,894","1,812","1,791","1,968","1,996","-4.3","-1.2","9.9","1.4"
"nova scotia","13,247","13,535","13,902","14,134","13,874","2.2","2.7","1.7","-1.8"
"new brunswick","9,163","8,742","9,099","9,844","9,688","-4.6","4.1","8.2","-1.6"
"quebec","153,711","154,548","150,517","150,995","150,749","0.5","-2.6","0.3","-0.2"
"ontario","266,882","271,513","270,957","277,772","276,083","1.7","-0.2","2.5","-0.6"
"manitoba","21,328","21,434","21,941","22,625","21,565","0.5","2.4","3.1","-4.7"
"saskatchewan","11,850","11,756","12,688","12,957","12,581","-0.8","7.9","2.1","-2.9"
"alberta","54,685","56,528","57,758","55,785","55,518","3.4","2.2","-3.4","-0.5"
"british columbia","85,215","85,182","82,697","82,809","81,385","0.0","-2.9","0.1","-1.7"
"yukon","817","809","802","787","814","-1.0","-0.9","-1.9","3.4"
"northwest territories","670","718","724","733","771","7.2","0.8","1.2","5.2"
"nunavut","395","428","427","418","418","8.4","-0.2","-2.1","0.0"
