"club","season","league","league","league","fa cup","fa cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"rotherham united","1998-99","division 3","5","1","1","0","0","0","1","0","7","1"
"rotherham united","1999-00","division 3","0","0","0","0","0","0","0","0","0","0"
"rotherham united","2000-01","division 2","12","0","2","0","0","0","1","1","15","1"
"rotherham united","2001-02","division 1","38","2","2","0","1","0","0","0","41","2"
"rotherham united","2002-03","division 1","20","0","0","0","4","3","0","0","24","3"
"rotherham united","2003-04","division 1","27","3","1","0","2","0","0","0","30","3"
"rotherham united","2004-05","championship","14","2","1","0","0","0","0","0","14","2"
"rotherham united","2005-06","league one","12","1","1","0","0","0","2","0","15","1"
"rotherham united","total","total","128","9","8","0","7","3","4","1","147","13"
"swindon town","2006-07","league two","10","2","0","0","0","0","1","0","11","1"
"hartlepool united","2006-07","league two","8","3","0","0","0","0","0","0","8","3"
"hartlepool united","2006-07","league two","18","4","0","0","0","0","0","0","18","4"
"hartlepool united","2007-08","league one","25","2","2","0","1","0","0","0","27","2"
"hartlepool united","2008-09","league one","44","6","5","1","2","1","0","0","51","8"
"hartlepool united","2009-10","league one","43","11","1","0","2","0","1","0","47","11"
"hartlepool united","2010-11","league one","44","7","4","0","2","0","3","1","53","8"
"hartlepool united","2011-12","league one","45","3","1","0","1","0","1","0","48","3"
"hartlepool united","2012-13","league one","35","7","0","0","1","0","0","0","36","7"
"hartlepool united","2013-14","league two","36","4","3","1","0","0","3","0","42","6"
"hartlepool united","total","total","290","44","18","2","9","1","8","1","325","49"
"bristol rovers","2014-15","conference premier","39","8","1","2","0","0","3","0","43","10"
"grimsby town","2015-16","national league","38","6","3","0","0","0","3","0","44","6"
"total","total","total","513","72","30","4","16","4","19","2","578","82"
