"detailed motivation","2014","2014","2015","2015","2016","2016","2017","2017","2018","2018"
"detailed motivation","number","percent","number","percent","number","percent","number","percent","number","percent"
"race/ethnicity","611","48","641","48","666","48","878","43","780","44"
"black","238","19","224","17","214","15","321","16","283","16"
"east or southeast asian","52","4","49","4","61","4","61","3","56","3"
"south asian","49","4","48","4","72","5","67","3","75","4"
"arab or west asian","69","5","92","7","112","8","142","7","111","6"
"indigenous","37","3","35","3","30","2","31","2","35","2"
"white","49","4","38","3","36","3","46","2","37","2"
"other race or ethnicity","106","8","130","10","125","9","169","8","159","9"
"race/ethnicity not specified","11","1","25","2","16","1","41","2","24","1"
"religion","429","34","469","35","460","33","842","41","639","36"
"jewish","213","17","178","13","221","16","360","18","347","20"
"muslim","99","8","159","12","139","10","349","17","173","10"
"catholic","35","3","55","4","27","2","39","2","35","2"
"other religion","49","4","41","3","37","3","57","3","46","3"
"religion not specified","33","3","36","3","36","3","37","2","38","2"
"sexual orientation","155","12","141","11","176","13","204","10","173","10"
"other motivation","77","6","86","6","88","6","117","6","171","10"
"motivation unknown","23","..","25","..","19","..","32","..","35",".."
"total","1,295","100","1,362","100","1,409","100","2,073","100","1,798","100"
