"club","division","season","league","league","cup","cup","continental","continental","total","total"
"club","division","season","apps","goals","apps","goals","apps","goals","apps","goals"
"valerenga","tippeligaen","2007","0","0","1","0","0","0","1","0"
"valerenga","tippeligaen","2008","9","0","3","0","","","12","0"
"valerenga","tippeligaen","2009","25","1","6","2","2","0","33","3"
"valerenga","tippeligaen","2010","30","5","1","0","","","31","5"
"valerenga","tippeligaen","2011","27","2","2","2","4","0","33","4"
"valerenga","tippeligaen","2012","10","0","1","0","","","11","0"
"feyenoord","eredivisie","2012-2013","7","0","0","0","1","0","8","0"
"feyenoord","eredivisie","2013-2014","0","0","0","0","-","-","0","0"
"molde","tippeligaen","2014","28","3","5","0","4","0","36","3"
"molde","tippeligaen","2015","25","1","2","0","11","1","38","2"
"molde","tippeligaen","2016","26","5","1","0","0","0","27","5"
"wisła płock","ekstraklasa","2016-17","1","0","0","0","0","0","1","0"
"kalmar","allsvenskan","2017","10","0","0","0","0","0","10","0"
"sarpsborg 08","eliteserien","2018","28","1","0","0","8","0","36","1"
"hjk","veikkausliiga","2019","4","0","0","0","0","0","4","0"
"career total","career total","career total","230","18","22","4","30","1","282","23"
