"","women's share of total self-employed workers","women's share of total self-employed workers","number of self-employed women","number of self-employed women","number of self-employed women"
"","percent","percent","thousands","thousands","percent change"
"","2018","1987","2018","1987","1987 to 2018"
"all industries","37.7","30.2","1079.0","513.2","110.2"
"health care and social assistance","69.7","63.1","219.7","75.1","192.5"
"educational services","66.0","68.4","54.7","11.9","359.7"
"other services","55.2","54.7","129.8","101.2","28.3"
"business, building and other support services","49.2","39.3","97.9","20.6","375.2"
"information, culture and recreation","44.4","35.2","60.0","22.2","170.3"
"accommodation and food services","42.7","34.1","44.4","25.0","77.6"
"finance, insurance, real estate, rental and leasing","38.6","21.1","84.2","13.9","505.8"
"professional, scientific and technical services","37.6","23.0","174.7","30.9","465.4"
"agriculture","26.7","26.0","42.6","82.5","-48.4"
"construction","9.0","6.1","35.1","11.7","200.0"
