"season","team","games","games","receiving","receiving","receiving","receiving","receiving","rushing","rushing","rushing","rushing","rushing","fumbles","fumbles"
"season","team","gp","gs","rec","yds","avg","lng","td","att","yds","avg","lng","td","fum","lost"
"1996","ind","16","15","64","836","13.1","41","8","3","15","5.0","15","0","1","1"
"1997","ind","16","15","73","866","11.9","44","6","2","7","3.5","0","0","2","0"
"1998","ind","12","12","59","776","13.2","61t","7","-","-","-","-","-","-","-"
"1999","ind","16","16","115","1,663","14.5","57t","12","1","4","4.0","4","0","2","1"
"2000","ind","16","16","102","1,413","13.9","78t","14","-","-","-","-","-","2","1"
"2001","ind","16","16","109","1,524","14.0","68","15","1","3","3.0","3","0","-","-"
"2002","ind","16","16","143","1,722","12.0","69","11","2","10","5.0","8","0","-","-"
"2003","ind","15","15","94","1,272","13.5","79t","10","1","3","3.0","3","0","2","2"
"2004","ind","16","16","86","1,113","12.9","59","15","-","-","-","-","-","1","1"
"2005","ind","15","15","82","1,146","14.0","80t","12","-","-","-","-","-","-","-"
"2006","ind","16","16","95","1,366","14.4","68t","12","-","-","-","-","-","1","1"
"2007","ind","5","5","20","247","12.4","42","1","-","-","-","-","-","-","-"
"2008","ind","15","15","60","636","10.6","67t","5","-","-","-","-","-","1","1"
"none","total","190","188","1,102","14,580","13.2","80","128","10","28","2.8","15","0","12","8"
