"year","team","gp","gs","receiving","receiving","receiving","receiving","receiving","kickoff returns","kickoff returns","kickoff returns","kickoff returns","kickoff returns","punt returns","punt returns","punt returns","punt returns","punt returns","fumbles","fumbles"
"year","team","gp","gs","rec","yds","avg","lng","td","ret","yds","avg","lng","td","ret","yds","avg","lng","td","fum","lost"
"2007","mia","16","9","34","420","12.4","54","2","63","1,433","22.7","52","0","24","230","9.6","87","1","3","1"
"2008","mia","16","14","56","790","14.1","64","2","32","657","20.5","41","0","7","54","7.7","15","0","5","0"
"2009","mia","16","12","38","454","11.9","53","1","52","1,296","24.9","101","2","5","28","5.6","12","0","2","0"
"2010","sf","13","0","12","163","13.6","37","1","47","992","21.1","61","0","24","321","13.4","78","1","1","0"
"2011","sf","14","3","19","220","11.6","26","0","29","800","27.6","102","1","38","466","12.3","55","1","-","-"
"2012","sf","13","0","2","1","0.5","1","0","11","253","23.0","31","0","32","326","10.2","38","0","4","1"
"2013","car","16","2","36","556","15.4","47","5","25","595","23.8","38","0","26","316","12.2","41","0","-","-"
"2014","ari","16","0","14","190","13.6","27","0","22","417","19.0","43","0","26","277","10.7","71","1","2","0"
"2015","car","15","13","44","739","16.8","74","10","1","8","8.0","8","0","27","277","10.3","37","0","0","0"
"2016","car","16","8","54","752","13.9","88","4","18","391","21.7","59","0","29","202","7.0","19","0","3","2"
"2017","no","15","10","53","787","14.8","54","4","5","56","11.2","17","0","19","103","5.4","17","0","0","0"
"total","total","166","71","362","5,072","12.6","88","29","305","6,898","20.3","102","3","257","2,600","9.8","87","4","20","4"
