"characteristic","women","women","women","men","men","men"
"characteristic","total - 65 years and over","65 to 74 years","75 years and over","total - 65 years and over","65 to 74 years","75 years and over"
"characteristic","percentage","percentage","percentage","percentage","percentage","percentage"
"number of family members respondent feels close to","","","","","",""
"none","5","3","6","6","6","6"
"one to four","44","44","44","48","46","51"
"five or more","52","53","50","46","48","43"
"number of friends respondent feels close to","","","","","",""
"none","11","9","13","13","11","17"
"one to four","45","47","42","43","46","40"
"five or more","44","44","44","43","43","43"
"number of friends excluding closest","","","","","",""
"none","13","11","17","14","11","18"
"one to four","13","13","14","13","13","13"
"five or more","73","76","70","73","76","69"
"daily in-person contact","","","","","",""
"with family","10","9","10","8","8","8"
"with friends","11","9","14","11","10","12"
