"club","season","league","league","league","fa cup","fa cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"brighton & hove albion","total","total","80","4","4","0","4","0","5","0","93","4"
"brentford","1997-98","second division","2","0","0","0","0","0","0","0","2","0"
"hastings united","2002-03","southern league premier division","13","3","0","0","-","-","0","0","13","3"
"hastings united","2003-04","southern league first division east","18","4","0","0","-","-","0","0","18","4"
"hastings united","total","total","31","7","0","0","-","-","0","0","31","7"
"eastbourne borough","2003-04","southern league premier division","8","0","-","-","8","0","none","none","none","none"
"eastbourne borough","2004-05","conference south","9","0","0","0","-","-","0","0","9","0"
"eastbourne borough","total","total","17","0","0","0","-","-","0","0","17","0"
"folkestone invicta","2004-05","isthmian league premier division","9","1","-","-","9","1","none","none","none","none"
"folkestone invicta","2005-06","isthmian league premier division","39","3","1","0","-","-","1","0","41","3"
"folkestone invicta","2006-07","isthmian league premier division","6","0","-","-","6","0","none","none","none","none"
"folkestone invicta","total","total","54","4","1","0","-","-","1","0","56","4"
"horsham","2006-07","isthmian league premier division","29","1","1","0","-","-","1","0","31","1"
"horsham","2007-08","isthmian league premier division","27","0","3","0","-","-","3","0","33","0"
"horsham","total","total","56","1","4","0","-","-","4","0","64","1"
"career total","career total","career total","240","16","9","0","4","0","10","0","263","16"
