"club","season","league","league","league","fa cup","fa cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"stockport county","2006-07","league two","4","0","1","0","0","0","0","0","5","0"
"stockport county","2007-08","league two","24","6","1","0","0","0","5","0","30","6"
"stockport county","2008-09","league one","44","7","4","0","1","0","1","0","50","7"
"stockport county","total","total","72","13","6","0","1","0","6","0","85","13"
"peterborough united","2009-10","championship","32","2","0","0","3","1","-","-","35","3"
"peterborough united","2010-11","league one","35","5","2","0","3","0","3","1","43","6"
"peterborough united","2011-12","championship","43","4","1","0","2","0","-","-","46","4"
"peterborough united","2012-13","championship","31","5","1","0","0","0","-","-","32","5"
"peterborough united","2013-14","league one","34","7","1","1","3","1","5","0","43","9"
"peterborough united","total","total","175","23","5","1","11","2","8","1","199","27"
"wolverhampton wanderers","2014-15","championship","14","0","0","0","0","0","-","-","14","0"
"wolverhampton wanderers","2015-16","championship","3","0","0","0","1","0","-","-","4","0"
"wolverhampton wanderers","total","total","17","0","0","0","1","0","0","0","19","0"
"scunthorpe united","2015-16","league one","14","1","0","0","0","0","0","0","14","1"
"scunthorpe united","total","total","14","1","0","0","0","0","0","0","14","1"
"doncaster rovers","2015-16","league one","10","3","0","0","0","0","0","0","10","3"
"doncaster rovers","2016-17","league two","46","13","0","0","1","0","0","0","47","13"
"doncaster rovers","2017-18","league one","37","4","3","4","3","1","1","0","44","9"
"doncaster rovers","total","total","93","20","3","4","4","1","1","0","101","25"
"career totals","career totals","career totals","371","57","14","5","17","3","15","1","417","66"
