"club","season","league","league","league","national cup","national cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"chelsea","2009-10","premier league","1","0","1","0","1","0","1","0","4","0"
"chelsea","2010-11","premier league","5","0","1","0","1","0","5","0","12","0"
"chelsea","total","total","6","0","2","0","2","0","6","0","16","0"
"fulham","2010-11","premier league","7","1","0","0","0","0","-","-","7","1"
"bolton wanderers","2011-12","premier league","4","0","0","0","2","1","-","-","6","1"
"dijon","2011-12","ligue 1","14","4","2","1","0","0","-","-","16","5"
"vitesse","2012-13","eredivisie","22","1","4","0","-","-","0","0","26","1"
"vitesse","2013-14","eredivisie","12","1","1","2","-","-","1","0","14","3"
"vitesse","total","total","34","2","5","2","-","-","1","0","40","4"
"lazio","2013-14","serie a","1","0","0","0","-","-","1","0","2","0"
"rayo vallecano","2014-15","la liga","35","5","0","0","-","-","35","5","none","none"
"sevilla","2015-16","la liga","2","0","3","1","-","-","0","0","5","1"
"hebei china fortune","2016","chinese super league","24","2","0","0","-","-","24","2","none","none"
"deportivo la coruna","2016-17","la liga","10","2","0","0","-","-","10","2","none","none"
"amiens","2017-18","ligue 1","36","6","2","0","-","-","38","6","none","none"
"career total","career total","career total","173","22","14","4","4","1","8","0","199","27"
