"","linked cctlp tumour cohort","tumours with one or more surgical interventions","tumours with one or more surgical interventions"
"","number","number","percent"
"canada","12,585","11,700","93"
"newfoundland and labrador","315","310","98"
"prince edward island","35","30","91"
"nova scotia","360","345","96"
"new brunswick","410","400","97"
"ontario","8,320","7,690","92"
"manitoba","380","350","91"
"saskatchewan","280","265","95"
"alberta","1,340","1,270","95"
"british columbia","1,125","1,030","91"
"yukon","x","x","x"
"northwest territories","5","5","86"
"nunavut","x","x","x"
