"place","athlete","preliminary","preliminary","preliminary","preliminary","final","final","final","best mark"
"place","athlete","1","2","3","rank","4","5","6","best mark"
"1","eric lemming","53.02","54.78","57.42 or","1st","60.64 or","-","59.00","60.64"
"2","julius saaristo","54.75","55.37 or","-","2nd","56.21","-","58.66","58.66"
"3","mor koczan","54.06","-","54.99","3rd","-","-","55.50","55.50"
"none","none","none","none","none","none","none","none","none","none"
"4","johan halme","53.81","54.65","-","4th","none","none","none","54.65"
"5","vaino siikaniemi","52.19","-","52.43","5th","none","none","none","52.43"
"6","richard abrink","46.56","48.25","52.20","6th","none","none","none","52.20"
"7","arne halse","51.98","-","-","7th","none","none","none","51.98"
"8","jonni myyra","48.77","51.33","-","8th","none","none","none","51.33"
"9","urho peltonen","49.20","-","-","9th","none","none","none","49.20"
"10","otto nilsson","47.59","48.01","49.18","10th","none","none","none","49.18"
"11","karl sonne","-","47.85","-","11th","none","none","none","47.85"
"12","daniel johansen","46.18","46.87","47.61","12th","none","none","none","47.61"
"13","svante olsson","46.94","-","-","13th","none","none","none","46.94"
"14","anders krigsman","45.14","45.48","46.71","14th","none","none","none","46.71"
"15","janne dahl","-","44.09","45.67","15th","none","none","none","45.67"
"16","arvid ohrling","45.00","45.32","-","16th","none","none","none","45.32"
"17","nikolay neklapaev","-","44.78","44.98","17th","none","none","none","44.98"
"18","emil kukko","44.50","-","44.66","18th","none","none","none","44.66"
"19","josef waitzer","41.99","43.20","43.71","19th","none","none","none","43.71"
"20","nikolajs svedrevics","-","43.21","-","20th","none","none","none","43.21"
"21","algot larsson","43.18","-","-","21st","none","none","none","43.18"
"22","karl halt","-","41.99","-","22nd","none","none","none","41.99"
"23","paul willfuhr","41.05","-","-","23rd","none","none","none","41.05"
"24","eskil falk","-","-","-","24th","none","none","none","none"
"24","gustav krojer","-","-","-","24th","none","none","none","none"
