"club","season","division","league","league","fa cup","fa cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"shrewsbury town","1975-76","third division","5","0","0","0","0","0","5","0"
"shrewsbury town","1976-77","third division","9","2","1","0","0","0","10","2"
"shrewsbury town","total","total","14","2","1","0","0","0","15","2"
"torquay united","1977-78","fourth division","34","5","1","0","3","1","38","6"
"torquay united","1978-79","fourth division","45","17","3","1","2","1","50","19"
"torquay united","1979-80","fourth division","42","14","3","1","4","2","49","17"
"torquay united","1980-81","fourth division","26","5","1","1","2","0","29","6"
"torquay united","1981-82","fourth division","42","5","2","1","5","0","49","6"
"torquay united","total","total","189","46","10","4","16","4","215","54"
"port vale","1982-83","fourth division","8","0","0","0","1","0","9","0"
"aldershot","1983-84","fourth division","39","23","2","0","5","2","46","25"
"rochdale","1984-85","fourth division","15","4","1","0","2","1","18","5"
"burnley","1984-85","third division","10","2","0","0","2","0","12","2"
"burnley","1985-86","fourth division","21","6","0","0","2","1","23","7"
"burnley","total","total","31","8","0","0","4","1","35","9"
"peterborough united","1986-87","fourth division","12","4","1","0","3","0","16","4"
"peterborough united","1987-88","fourth division","21","4","2","1","5","1","28","6"
"peterborough united","total","total","33","8","3","1","8","1","44","10"
"cambridge united","1987-88","fourth division","13","0","0","0","0","0","13","0"
"aylesbury united","1988-89","conference","19","1","3","1","0","0","22","2"
"aylesbury united","1989-90","isthmian league premier division","5","2","1","0","0","0","6","2"
"aylesbury united","total","total","24","3","4","1","0","0","28","4"
"career total","career total","career total","366","94","21","6","36","9","423","109"
