"club","season","league","league","league","cup","cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"greenock morton","2002-03","scottish third division","7","0","2","0","0","0","0","0","9","0"
"greenock morton","2003-04","scottish second division","9","0","0","0","0","0","0","0","9","0"
"greenock morton","2004-05","scottish second division","36","2","3","0","2","0","1","0","42","2"
"greenock morton","2005-06","scottish second division","35","4","2","0","1","0","6","0","44","4"
"greenock morton","2006-07","scottish second division","36","5","3","0","1","0","4","0","44","5"
"greenock morton","2007-08","scottish first division","36","4","4","1","1","0","4","1","45","6"
"greenock morton","2008-09","scottish first division","35","0","1","0","3","1","3","0","42","1"
"greenock morton","2009-10","scottish first division","30","1","3","0","2","0","2","0","37","1"
"greenock morton","total","total","224","16","18","1","10","1","20","1","272","19"
"hamilton academical","2010-11","scottish premier league","19","0","2","0","1","0","0","0","22","0"
"hamilton academical","2011-12","scottish first division","36","1","2","0","1","0","5","0","44","1"
"hamilton academical","total","total","55","1","4","0","2","0","5","0","66","1"
"dundee","2012-13","scottish premier league","38","3","3","2","1","0","0","0","42","5"
"dundee","2013-14","scottish championship","36","4","1","0","2","1","3","0","42","5"
"dundee","2014-15","scottish premiership","37","2","2","0","2","0","0","0","41","2"
"dundee","total","total","111","9","6","2","5","1","3","0","125","12"
"blackpool","2015-16","league one","44","0","0","0","1","0","1","0","46","0"
"blackpool","2016-17","league two","25","0","5","0","2","1","3","0","32","1"
"blackpool","2017-18","league one","1","0","0","0","0","0","1","0","2","0"
"blackpool","total","total","70","0","5","0","3","1","5","0","80","1"
"greenock morton","2018-19","scottish championship","24","0","3","0","4","0","0","0","31","0"
"career total","career total","career total","484","26","36","3","24","3","33","1","574","33"
