"club","season","league","league","league","cup","cup","continental","continental","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"river plate","2013-14","argentine primera division","0","0","0","0","0","0","0","0","0","0"
"river plate","2014","argentine primera division","0","0","0","0","0","0","0","0","0","0"
"river plate","2015","argentine primera division","0","0","0","0","0","0","0","0","0","0"
"river plate","2016","argentine primera division","0","0","0","0","0","0","0","0","0","0"
"river plate","2016-17","argentine primera division","0","0","0","0","0","0","0","0","0","0"
"river plate","total","total","0","0","0","0","0","0","0","0","0","0"
"argentinos juniors","2015","argentine primera division","12","0","1","0","-","-","0","0","13","0"
"san martin","2016","argentine primera division","1","0","1","0","-","-","0","0","2","0"
"san martin","2016-17","argentine primera division","13","0","0","0","-","-","0","0","13","0"
"san martin","2017-18","argentine primera division","16","1","0","0","-","-","0","0","16","1"
"san martin","total","total","30","1","0","0","-","-","0","0","30","1"
"guillermo brown","2018-19","primera b nacional","6","0","0","0","-","-","0","0","6","0"
"river plate","2019","paraguayan primera division","0","0","0","0","-","-","0","0","0","0"
"career total","career total","career total","48","1","2","0","0","0","0","0","50","1"
