"nat","player","total","total","league","league","fa cup","fa cup","league cup","league cup","welsh cup","welsh cup"
"nat","player","a","g","a","g","a","g","a","g","a","g"
"goalkeepers","goalkeepers","goalkeepers","goalkeepers","goalkeepers","goalkeepers","goalkeepers","goalkeepers","goalkeepers","goalkeepers","goalkeepers","goalkeepers"
"wales","brian lloyd","39","-","36","-","2","-","-","-","1","-"
"wales","grenville millington","12","-","10","-","-","-","2","-","-","-"
"field players","field players","field players","field players","field players","field players","field players","field players","field players","field players","field players","field players"
"england","david burns","7+1","-","5+1","-","-","-","2","-","-","-"
"england","nigel clutton","1","-","1","-","-","-","-","-","-","-"
"england","paul crossley","34","13","31","9","2","4","-","-","1","-"
"wales","bob delgado","46","3","41","3","2","-","2","-","1","-"
"wales","ian edwards","38","6","33","6","2","-","2","-","1","-"
"wales","nigel edwards","18","-","13","-","2","-","2","-","1","-"
"wales","ian howat","11+3","4","10+2","4","-","-","0+1","-","1","-"
"england","derek jeffries","26+2","1","23+2","1","1","-","2","-","-","-"
"wales","brynley jones","16+5","2","15+5","2","-","-","-","-","1","-"
"none","mike kearney","26+1","6","22+1","4","2","1","2","1","-","-"
"england","doug livermore","34","5","32","5","2","-","-","-","-","-"
"england","stuart mason","8+1","1","6+1","1","-","-","2","-","-","-"
"england","ian mellor","17","5","17","5","-","-","-","-","-","-"
"england","mark nickeas","18","1","18","1","-","-","-","-","-","-"
"england","alan oakes","48","5","44","5","1","-","2","-","1","-"
"england","ronnie phillips","45","7","42","7","2","-","-","-","1","-"
"england","paul raynor","35+1","-","34","-","0+1","-","-","-","1","-"
"england","trevor storton","46","4","41","4","2","-","2","-","1","-"
"none","jim walker","36","-","32","-","2","-","2","-","-","-"
"none","own goals","-","2","-","2","-","-","-","-","-","-"
"none","total","51","65","46","59","2","5","2","1","1","0"
