"candidate and nominating parties","1st round","1st round","2nd round","2nd round"
"candidate and nominating parties","votes","%","votes","%"
"nicos anastasiades - disy","200,591","45.46","236,965","57.48"
"stavros malas - akel","118,755","26.91","175,267","42.52"
"giorgos lillikas - edek","109,996","24.93","",""
"giorgos charalambous - elam","3,899","0.88","",""
"praxoula antoniadou - edi","2,678","0.61","",""
"makaria-andri stylianou - independent","1,898","0.43","",""
"lakis ioannou - lasok","1,278","0.29","",""
"solon gregoriou - independent","792","0.18","",""
"kostas kyriacou - independent","722","0.16","",""
"andreas efstratiou - independent","434","0.10","",""
"loukas stavrou - independent","213","0.05","",""
"valid votes","441,212","100.00","412,232","100.00"
"blank votes","4,460","0.98","18,040","4.05"
"invalid votes","7,826","1.73","14,737","3.31"
"turnout","453,498","83.14","445,009","81.58"
"source: results.elections.moi.gov.cy","source: results.elections.moi.gov.cy","source: results.elections.moi.gov.cy","source: results.elections.moi.gov.cy","source: results.elections.moi.gov.cy"
