"type of offence","guilty","guilty","stayed/ withdrawn","stayed/ withdrawn","acquitted","acquitted","other decisions","other decisions","total cases","total cases"
"type of offence","number","percent","number","percent","number","percent","number","percent","number","percent"
"violent offences","6,482","55","4,783","41","395","3","60","1","11,720","100"
"homicide","21","64","11","33","0","0","1","3","33","100"
"attempted murder","9","45","10","50","1","5","0","0","20","100"
"robbery","1,040","55","806","42","55","3","3","0","1,904","100"
"sexual assault","457","61","226","30","57","8","10","1","750","100"
"other sexual offences","407","61","211","32","45","7","4","1","667","100"
"major assault","1,478","62","835","35","71","3","12","1","2,396","100"
"common assault","1,858","51","1,663","46","77","2","15","0","3,613","100"
"uttering threats","987","53","791","42","77","4","12","1","1,867","100"
"criminal harassment","80","42","108","56","2","1","2","1","192","100"
"other crimes against persons","145","52","122","44","10","4","1","0","278","100"
"property offences","6,469","48","6,735","50","108","1","58","0","13,370","100"
"theft","2,083","45","2,528","54","34","1","13","0","4,658","100"
"break and enter","1,890","61","1,170","38","24","1","16","1","3,100","100"
"fraud","255","55","204","44","4","1","2","0","465","100"
"mischief","1,067","43","1,388","56","27","1","7","0","2,489","100"
"possess stolen property","971","42","1,291","56","16","1","16","1","2,294","100"
"other property crimes","203","56","154","42","3","1","4","1","364","100"
"administration of justice offences","2,723","63","1,518","35","28","1","21","0","4,290","100"
"fail to appear","110","45","130","53","0","0","6","2","246","100"
"breach of probation","74","63","41","35","0","0","2","2","117","100"
"unlawfully at large","219","85","39","15","0","0","0","0","258","100"
"fail to comply with order","1,776","62","1,066","37","25","1","8","0","2,875","100"
"other administration of justice","544","69","242","30","3","0","5","1","794","100"
"other criminal code offences","1,317","61","804","37","25","1","14","1","2,160","100"
"weapons","856","59","573","39","17","1","5","0","1,451","100"
"prostitution","3","27","8","73","0","0","0","0","11","100"
"disturbing the peace","37","43","49","57","0","0","0","0","86","100"
"residual criminal code","421","69","174","28","8","1","9","1","612","100"
"criminal code","16,991","54","13,840","44","556","2","153","0","31,540","100"
"criminal code traffic offences","494","76","135","21","15","2","2","0","646","100"
"impaired driving","251","79","57","18","9","3","1","0","318","100"
"other criminal code traffic","243","74","78","24","6","2","1","0","328","100"
"total criminal code offences","17,485","54","13,975","43","571","2","155","0","32,186","100"
"other federal statute offences","5,039","65","2,595","34","59","1","22","0","7,715","100"
"drug possession","435","28","1,123","72","3","0","7","0","1,568","100"
"other drug offences","354","53","306","46","1","0","1","0","662","100"
"youth criminal justice act","3,086","80","729","19","14","0","12","0","3,841","100"
"residual federal statutes","1,164","71","437","27","41","2","2","0","1,644","100"
"total offences","22,524","56","16,570","42","630","2","177","0","39,901","100"
