"year","title","chart positions","chart positions","chart positions","chart positions","chart positions","chart positions","chart positions","chart positions","chart positions","chart positions","album"
"year","title","bel","ger","swi","aut","swe","nl","den","fin","nor","spa","album"
"2001","scream for more","9","-","-","15","-","57","12","-","-","-","different"
"2001","ur","17","-","-","-","-","-","-","-","-","-","different"
"2002","desenchantee","1","2","11","3","4","4","12","-","3","7","different"
"2002","mon cœur resiste encore","7","27","35","-","-","58","-","-","-","2","different"
"2002","libertine","7","7","26","7","16","-","15","20","15","19","different"
"2003","only if i","16","27","34","25","37","-","-","-","-","8","stronger"
"2004","the promise you made","8","-","-","-","-","-","-","-","-","-","stronger"
"2004","la promesse","-","19","50","21","-","-","-","-","-","-","stronger"
"2004","goodbye","30","52","93","47","-","-","-","-","-","-","stronger"
"2006","je t'adore","1","26","65","38","21","56","-","-","-","-","alive"
"2006","alive","4","42","-","54","-","-","-","8","-","-","alive"
"2006","all for you","37","-","-","-","-","-","-","-","-","-","alive"
"2007","voyage voyage","2","13","-","26","26","11","-","10","-","6","free"
"2008","l.i.l.y","12","-","-","-","-","-","-","-","-","-","free"
"2008","ella elle l'a","7","10","50","23","2","2","29","-","9","23","free"
"2008","i surrender","27","-","-","-","-","44","-","-","-","-","free"
"2009","your eyes","-","-","-","-","-","80","-","-","-","-","free"
"2009","babacar","17","28","-","53","27","-","-","-","-","21","french connection"
"2009","evidemment","27","-","-","-","-","-","-","-","-","-","french connection"
"2011","lovelife","21","-","-","-","-","72","-","-","-","28","electroshock"
"2011","broken","30","-","-","-","-","-","-","-","-","-","electroshock"
"2012","robots","12","-","-","-","-","-","-","-","-","-","electroshock"
"2013","light in the dark","27","-","-","-","-","-","-","-","-","-","non-album single"
"2013","heart flow","30","-","-","-","-","-","-","-","-","-","non-album single"
"2014","not alone","23","-","-","-","-","-","-","-","-","-","non-album single"
"2015","runaway","23","-","-","-","-","-","-","-","-","-","non-album single"
"2016","wonderful life","30","-","-","-","-","-","-","-","-","-","non-album single"
"2016","comment te dire adieu","8","-","-","-","-","-","-","-","-","-","non-album single"
