"club","season","league","league","league","cup","cup","league cup","league cup","continental","continental","other","other"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"aldosivi","2007-08","primera b nacional","9","0","0","0","-","-","0","0","9","0"
"aldosivi","2008-09","primera b nacional","37","0","0","0","-","-","0","0","37","0"
"aldosivi","2009-10","primera b nacional","37","0","0","0","-","-","0","0","37","0"
"aldosivi","2010-11","primera b nacional","36","0","0","0","-","-","0","0","36","0"
"aldosivi","2011-12","primera b nacional","38","0","0","0","-","-","0","0","38","0"
"aldosivi","2012-13","primera b nacional","36","0","1","0","-","-","0","0","37","0"
"aldosivi","2013-14","primera b nacional","36","0","0","0","-","-","0","0","36","0"
"aldosivi","2014","primera b nacional","16","0","0","0","-","-","0","0","16","0"
"aldosivi","2015","primera division","33","0","1","0","-","-","0","0","34","0"
"aldosivi","2016","primera division","8","0","1","0","-","-","0","0","9","0"
"aldosivi","2016-17","primera division","0","0","0","0","-","-","0","0","0","0"
"aldosivi","total","total","286","0","3","0","-","-","0","0","289","0"
"career total","career total","career total","286","0","3","0","-","-","0","0","289","0"
