"club","season","league","league","league","cup","cup","league cup","league cup","europe","europe","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"lille","2004-05","ligue 1","3","1","0","0","0","0","0","0","3","1"
"lille","2005-06","ligue 1","15","1","0","0","2","0","2","0","19","1"
"lille","2006-07","ligue 1","23","2","0","0","2","0","5","0","30","2"
"lille","2007-08","ligue 1","35","6","2","1","0","0","0","0","37","7"
"lille","total","total","76","10","2","1","4","0","7","0","89","11"
"saint-etienne","2008-09","ligue 1","30","3","2","0","0","0","8","1","40","4"
"saint-etienne","2009-10","ligue 1","23","0","4","1","2","0","0","0","29","1"
"saint-etienne","total","total","53","3","6","1","2","0","8","1","69","5"
"olympiacos","2010-11","superleague","27","14","3","0","-","-","3","0","33","14"
"olympiacos","2011-12","superleague","25","20","3","0","-","-","6","0","34","20"
"olympiacos","total","total","52","34","6","0","-","-","9","0","67","34"
"everton","2012-13","premier league","27","6","4","1","2","2","-","-","33","9"
"everton","2013-14","premier league","32","8","4","0","1","0","-","-","37","8"
"everton","2014-15","premier league","29","7","2","1","0","0","5","3","36","11"
"everton","2015-16","premier league","23","4","3","1","4","1","-","-","30","6"
"everton","2016-17","premier league","35","4","1","0","1","0","-","-","37","4"
"everton","2017-18","premier league","5","0","0","0","1","0","7","0","13","0"
"everton","total","total","151","29","14","3","9","3","9","3","186","38"
"olympiacos","2017-18","superleague","13","2","3","0","-","-","16","2","none","none"
"fiorentina","2018-19","serie a","16","2","2","0","-","-","18","2","none","none"
"career total","career total","career total","361","80","33","5","15","3","33","4","444","92"
