"select characteristics","require","level of needs met","level of needs met","level of needs met"
"select characteristics","require","all","some","none"
"select characteristics","percent","percent","percent","percent"
"sex","","","",""
"men","31.6","62.4","14.6","22.6"
"women","42.3","57.3","21.9","20.2"
"severity of disability","","","",""
"less severe","29.2","63.2","14.9","21.6"
"more severe","62.0","53.7","24.8","20.5"
"number of disability types","","","",""
"1","21.9","64.8","12.3","22.9"
"2 or 3","41.3","64.1","16.9","17.8"
"4 or more","63.2","48.6","27.0","24.3"
"occupation","","","",""
"management and finance","43.8","63.6","17.4","18.9"
"professional occupations in applied sciences, health, education, law, and sport","39.4","54.8","26.8","18.3"
"sales and customer service","34.0","60.3","14.7","22.8"
"trades, transportation, natural resources, manufacturing, utilities, and related","30.7","59.6","12.0","28.3"
"size of company or organization","","","",""
"less than 20 people","32.4","64.7","16.5","18.7"
"100 or more people","36.7","53.9","23.3","22.3"
"years at same company or organization","","","",""
"0-2 years","34.2","47.1","20.6","32.2"
"3 or more years","36.3","60.5","20.8","17.9"
