"club","season","league","league","league","continental","continental","national","national","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"golcukspor","2008-09","second league","6","2","-","-","0","0","6","2"
"golcukspor","2009-10","second league","18","6","-","-","0","0","18","6"
"golcukspor","2010-11","first league","21","8","-","-","10","2","31","10"
"golcukspor","total","total","45","16","-","-","10","2","55","18"
"izmit belediyespor","2011-12","first league","19","7","-","-","0","0","19","7"
"izmit belediyespor","total","total","19","7","-","-","0","0","19","7"
"izmit cenesuyu plajyoluspor","2012-13","second league","6","9","-","-","3","0","9","9"
"izmit cenesuyu plajyoluspor","total","total","6","9","-","-","3","0","9","9"
"derince belediyespor","2012-13","first league","7","0","-","-","0","0","7","0"
"derince belediyespor","2013-14","first league","12","2","-","-","0","0","12","2"
"derince belediyespor","total","total","19","2","none","-","0","0","19","2"
"kirecburnu spor","2014-15","second league","12","4","-","-","0","0","12","4"
"kirecburnu spor","2015-16","first league","2","0","-","-","0","0","2","0"
"kirecburnu spor","total","total","14","4","none","-","0","0","14","4"
"kocaeli harb-isspor","2015-16","third league","6","9","-","-","0","0","6","9"
"kocaeli harb-isspor","2016-17","second league","15","1","-","-","0","0","15","1"
"kocaeli harb-isspor","total","total","21","10","none","-","0","0","21","10"
"career total","career total","career total","124","48","-","-","13","2","137","50"
