"season","team","games","games","receiving","receiving","receiving","receiving","receiving","rushing","rushing","rushing","rushing","rushing","fumbles","fumbles"
"season","team","gp","gs","rec","yds","avg","lng","td","att","yds","avg","lng","td","fum","lost"
"regular season","regular season","regular season","regular season","regular season","regular season","regular season","regular season","regular season","regular season","regular season","regular season","regular season","regular season","regular season","regular season"
"2001","ind","13","9","27","345","12.8","43","0","-","-","-","-","-","-","-"
"2002","ind","16","7","49","716","14.6","49","4","-","-","-","-","-","2","1"
"2003","ind","16","16","68","838","12.3","57t","7","-","-","-","-","-","-","-"
"2004","ind","16","16","77","1,210","15.7","71t","12","1","4","4.0","4","0","",""
"2005","ind","16","16","83","1,055","12.7","66t","5","-","-","-","-","-","1","0"
"2006","ind","16","16","86","1,310","15.2","51t","9","-","-","-","-","-","1","0"
"2007","ind","16","16","104","1,510","14.5","64","10","1","4","4.0","4","0","3","3"
"2008","ind","16","16","82","1,145","14.0","65t","6","-","-","-","-","-","-","-"
"2009","ind","16","16","100","1,264","12.6","65t","10","-","-","-","-","-","-","-"
"2010","ind","16","16","111","1,355","12.2","50","6","-","-","-","-","-","1","1"
"2011","ind","16","16","75","960","12.8","56t","4","-","-","-","-","-","-","-"
"2012","ind","16","15","106","1,355","12.8","33","5","1","5","5.0","5","0","1","1"
"2013","ind","7","7","38","503","13.2","35","2","1","5","5.0","5","0","-","-"
"2014","ind","15","15","64","779","12.2","80","2","-","-","-","-","-","1","1"
"career","career","211","197","1,070","14,345","13.4","80","82","4","0","0.0","5","0","10","7"
"postseason","postseason","postseason","postseason","postseason","postseason","postseason","postseason","postseason","postseason","postseason","postseason","postseason","postseason","postseason","postseason"
"2002","ind","1","1","3","17","5.7","7","0","-","-","-","-","-","-","-"
"2003","ind","3","3","15","172","11.5","20","2","-","-","-","-","-","-","-"
"2004","ind","2","2","13","256","19.7","49","2","-","-","-","-","-","1","1"
"2005","ind","1","1","7","97","13.9","24","0","-","-","-","-","-","-","-"
"2006","ind","4","4","17","216","12.7","53","2","-","-","-","-","-","-","-"
"2007","ind","1","1","7","76","10.9","21","1","-","-","-","-","-","-","-"
"2008","ind","1","1","4","129","32.2","72","1","-","-","-","-","-","-","-"
"2009","ind","3","3","16","164","10.2","25","1","-","-","-","-","-","1","0"
"2010","ind","1","1","1","1","1.0","1","0","-","-","-","-","-","-","-"
"2012","ind","1","1","9","114","12.7","20","0","-","-","-","-","-","-","-"
"2014","ind","3","3","1","12","12.0","12","0","-","-","-","-","-","-","-"
"career","career","21","21","93","1,254","13.5","72","9","-","-","-","-","-","2","1"
