"club","season","division","league","league","fa cup","fa cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"everton","1967-68","first division","2","0","0","0","0","0","2","0"
"bradford city","1970-71","third division","28","4","1","0","1","1","30","5"
"bradford city","1971-72","third division","24","2","1","0","2","0","27","2"
"bradford city","total","total","52","6","2","0","3","1","57","7"
"chester","1972-73","fourth division","35","4","2","0","3","0","40","4"
"chester","1973-74","fourth division","29","8","2","1","0","0","31","9"
"chester","1974-75","fourth division","37","14","1","0","5","2","43","16"
"chester","1975-76","third division","40","11","3","0","1","0","44","11"
"chester","1976-77","third division","35","4","2","0","3","0","40","4"
"chester","total","total","176","41","10","1","12","2","198","44"
"cambridge united","1977-78","third division","1","0","0","0","1","0","2","0"
"rochdale","1977-78","fourth division","42","10","1","2","0","0","43","12"
"rochdale","1978-79","fourth division","41","11","1","0","2","0","44","11"
"rochdale","total","total","83","21","2","2","2","0","87","23"
"port vale","1979-80","fourth division","18","3","0","0","2","0","20","3"
"career total","career total","career total","332","71","14","3","20","3","366","77"
