"club","season","division","league","league","fa cup","fa cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"hartlepool united","1998-99","third division","3","0","0","0","0","0","1","0","4","0"
"macclesfield town","2001-02","third division","8","2","0","0","0","0","0","0","8","2"
"scunthorpe united","2003-04","third division","1","0","0","0","0","0","0","0","1","0"
"rochdale","2003-04","third division","1","0","0","0","0","0","0","0","1","0"
"preston north end","2003-04","first division","5","0","0","0","0","0","0","0","5","0"
"bolton wanderers","2000-01","first division","1","0","0","0","0","0","0","0","1","0"
"bolton wanderers","2001-02","premier league","1","0","0","0","1","0","0","0","2","0"
"bolton wanderers","2002-03","premier league","0","0","2","0","1","0","0","0","3","0"
"bolton wanderers","2003-04","premier league","0","0","2","0","0","0","0","0","2","0"
"bolton wanderers","total","total","2","0","4","0","2","0","0","0","8","0"
"port vale","2004-05","league one","34","1","2","0","1","0","2","0","39","1"
"port vale","2005-06","league one","27","1","2","0","0","0","1","1","30","2"
"port vale","2006-07","league one","27","3","2","0","4","1","1","0","34","4"
"port vale","total","total","88","5","6","0","5","1","4","1","103","7"
"carlisle united","2006-07","league one","17","1","0","0","0","0","0","0","17","1"
"carlisle united","2007-08","league one","22","1","2","0","2","0","2","0","28","1"
"carlisle united","2008-09","league one","16","0","3","0","1","0","0","0","20","0"
"carlisle united","total","total","55","2","5","0","3","0","2","0","65","2"
"darlington","2009-10","league two","24","0","1","0","1","0","2","0","28","0"
"olympic charleroi","2010-11","third division b","12","1","0","0","0","0","0","0","12","1"
"whitby town","2011-12","northern premier","22","2","0","0","0","0","1","0","23","2"
"career total","career total","career total","221","12","16","0","11","0","10","2","258","14"
