"","female","female rank","male","male rank"
"","percent","number","percent","number"
"proportion with a college diploma","100","..","100",".."
"business, management, marketing and related support services","34","1","18","2"
"health professions and related programs","27","2","4","7"
"family and consumer sciences/human sciences","7","3","1","23"
"visual and performing arts","4","4","4","8"
"personal and culinary services","3","5","2","11"
"education","3","6","1","20"
"computer and information sciences and support services","3","7","8","4"
"legal professions and studies","3","8","0","26"
"public administration and social service professions","2","9","1","21"
"engineering technologies and engineering-related fields","2","10","19","1"
"% represented by top 10 female fields of study","88","..","58",".."
