"year","total youth crime severity index","total youth crime severity index","youth violent crime severity index","youth violent crime severity index","youth non-violent crime severity index","youth non-violent crime severity index"
"year","index","percent change from previous year","index","percent change from previous year","index","percent change from previous year"
"2006","100.0","3","100.0","6","100.0","0"
"2007","101.5","1","102.1","2","101.0","1"
"2008","95.7","-6","95.7","-6","95.6","-5"
"2009","95.6","0","96.7","1","94.7","-1"
"2010","90.0","-6","93.2","-4","87.6","-8"
"2011","81.7","-9","87.4","-6","77.2","-12"
"2012","77.3","-5","82.2","-6","73.5","-5"
"2013","66.2","-14","71.3","-13","62.4","-15"
"2014","61.1","-8","65.3","-8","57.8","-7"
"2015r","61.3","0","67.4","3","56.8","-2"
"2016","60.1","-2","70.9","5","52.2","-8"
"percent change 2006 to 2016","-40","..","-29","..","-48",".."
