"club","league","season","league","league","playoffs","playoffs","canadian championship","canadian championship","concacaf","concacaf","total","total"
"club","league","season","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"montreal impact","nasl","2011","2","0","0","0","-","-","2","0","none","none"
"montreal impact","mls","2013","6","0","0","0","1","0","2","0","8","0"
"montreal impact","mls","2014","15","0","0","0","2","0","3","0","20","0"
"montreal impact","mls","2015","11","2","0","0","3","0","0","0","14","2"
"montreal impact","mls","2016","13","0","0","0","2","0","0","0","16","0"
"montreal impact","mls","2017","3","0","0","0","3","0","0","0","6","0"
"montreal impact","total","total","50","2","1","0","11","0","5","0","67","2"
"fc montreal","usl","2015","2","0","0","0","0","0","0","0","2","0"
"fc montreal","usl","2016","1","0","0","0","0","0","0","0","1","0"
"fc montreal","total","total","3","0","0","0","0","0","0","0","3","0"
"ottawa fury fc","usl","2017","2","0","0","0","0","0","0","0","2","0"
"career total","career total","career total","55","2","0","0","11","0","5","0","72","2"
