"selected perception","aboriginal people","aboriginal people","non-aboriginal people","non-aboriginal people"
"selected perception","males","females","males","females"
"selected perception","percent","percent","percent","percent"
"satisfaction with personal safety from crime","","","",""
"very satisfied or satisfied","89","80","91","85"
"neither satisfied nor dissatisfied","5","11","6","10"
"dissatisfied or very dissatisfied","5","8","2","3"
"crime in neighbourhood compared with other areas in canada","","","",""
"higher","7","6","4","4"
"about the same","18","22","19","20"
"lower","73","70","74","74"
"activity of crime in neighbourhood over the past five years","","","",""
"increased","16","16","10","12"
"decreased","12","9","11","8"
"remained the same","69","69","74","73"
"feeling of safety when walking alone at night","","","",""
"very safe","66","32","61","28"
"reasonably safe","24","33","31","37"
"somewhat unsafe","3","8","3","7"
"very unsafe","f","3","1","2"
"does not walk alone","6","24","4","25"
"feeling of safety when alone in your home in the evening or at night","","","",""
"very worried about your safety from crime","f","f","0","1"
"somewhat worried about your safety from crime","6","18","5","15"
"not at all worried about your safety from crime","87","72","91","77"
"never alone","6","9","4","8"
