"","eastern ontario","eastern ontario","northern ontario","northern ontario"
"","french-language workers","other workers","french-language workers","other workers"
"","percent","percent","percent","percent"
"place of birth","","","",""
"born in the province of residence","67.3","67.7","86.5","86.1"
"born in another province","19.8","12.4","12.8","8.6"
"born outside of canada","12.8","19.9","0.4","5.3"
"religion","","","",""
"anglican","0.4","6.0","0.0","5.2"
"catholic","79.0","37.4","89.5","47.8"
"pentecostal","0.7","1.3","0.0","1.3"
"presbyterian","0.0","1.9","0.0","1.0"
"united church","0.8","7.4","0.4","6.4"
"other christian","6.5","11.5","2.8","11.5"
"buddhist, hindu, jewish, muslim and sikh","3.7","8.4","0.8","0.7"
"other religions","0.0","0.6","0.0","0.5"
"no religious affiliation","8.6","25.6","6.0","25.7"
