"","high school or less","some postsecondary education","bachelor's degree and above"
"","percent","percent","percent"
"sector","","",""
"agriculture, forestry, fishing and hunting","40.76","45.93","13.27"
"mining, oil and gas extraction, and utilities","30.19","32.10","37.61"
"construction","47.71","31.64","20.62"
"manufacturing","39.61","36.08","24.24"
"wholesale trade","31.73","32.36","35.90"
"retail trade","39.77","28.31","31.86"
"transportation and warehousing","52.23","28.72","19.03"
"professional services","26.57","27.81","45.58"
"education and health services","19.90","19.14","60.93"
"arts, entertainment and recreation, and accommodation and food services","49.02","29.31","21.64"
"other services","49.50","32.43","18.02"
"all sectors","36.35","29.08","34.53"
