"most serious offence","2005/2006","2006/2007","2007/2008","2008/2009","2009/2010","2010/2011","2011/2012","2012/2013","2013/2014"
"most serious offence","number of completed cases","number of completed cases","number of completed cases","number of completed cases","number of completed cases","number of completed cases","number of completed cases","number of completed cases","number of completed cases"
"violent offences","","","","","","","","",""
"include offences against the administration of justice","16,459","16,599","17,540","18,056","18,371","18,450","18,306","18,001","16,681"
"exclude offences against the administration of justice","77,520","75,737","76,523","77,058","78,317","76,270","74,919","73,032","68,181"
"total","93,979","92,336","94,063","95,114","96,688","94,720","93,225","91,033","84,862"
"property offences","","","","","","","","",""
"include offences against the administration of justice","28,976","29,128","29,564","28,507","29,269","29,685","27,207","26,393","25,647"
"exclude offences against the administration of justice","67,653","65,140","65,006","64,549","68,911","68,229","64,173","62,271","56,540"
"total","96,629","94,268","94,570","93,056","98,180","97,914","91,380","88,664","82,187"
"offences against the administration of justice","","","","","","","","",""
"include offences against the administration of justice","72,645","75,542","82,106","83,499","84,684","85,947","85,607","85,554","82,116"
"exclude offences against the administration of justice","..","..","..","..","..","..","..","..",".."
"total","72,645","75,542","82,106","83,499","84,684","85,947","85,607","85,554","82,116"
"drug offences","","","","","","","","",""
"include offences against the administration of justice","3,180","3,606","3,938","4,309","3,934","3,811","3,753","3,461","3,290"
"exclude offences against the administration of justice","21,462","22,002","23,645","24,378","24,632","25,562","25,922","24,419","21,735"
"total","24,642","25,608","27,583","28,687","28,566","29,373","29,675","27,880","25,025"
"other criminal code offences","","","","","","","","",""
"include offences against the administration of justice","11,013","11,295","12,036","12,473","12,761","13,210","12,706","13,255","11,896"
"exclude offences against the administration of justice","82,116","80,283","81,656","84,642","87,763","87,315","80,156","80,014","73,422"
"total","93,129","91,578","93,692","97,115","100,524","100,525","92,862","93,269","85,318"
"youth criminal justice act","","","","","","","","",""
"include offences against the administration of justice","154","131","140","146","181","198","188","143","146"
"exclude offences against the administration of justice","1,144","1,074","1,039","1,080","1,228","1,280","1,179","1,071","986"
"total","1,298","1,205","1,179","1,226","1,409","1,478","1,367","1,214","1,132"
"total offences","","","","","","","","",""
"include offences against the administration of justice","132,427","136,301","145,324","146,990","149,200","151,301","147,767","146,807","139,776"
"exclude offences against the administration of justice","249,895","244,236","247,869","251,707","260,851","258,656","246,349","240,807","220,864"
"total","382,322","380,537","393,193","398,697","410,051","409,957","394,116","387,614","360,640"
