"year","team","g","gs","passing","passing","passing","passing","passing","passing","passing","passing","rushing","rushing","rushing","rushing","sacked","sacked","fumbles","fumbles"
"year","team","g","gs","cmp","att","pct","yds","y/a","td","int","rtg","att","yds","avg","td","sack","ydsl","fum","fuml"
"2007","phi","1","0","0","0","0","0","0","0","0","0","3","2","0.7","0","2","13","1","1"
"2008","phi","6","0","17","34","50.0","144","4.2","0","4","21.8","13","2","0.2","0","0","0","0","0"
"2009","phi","5","2","62","96","64.6","741","7.7","4","3","88.9","5","1","0.2","1","3","27","2","1"
"2010","phi","7","5","115","189","60.8","1,197","6.3","7","7","76.1","15","65","4.3","0","15","99","6","3"
"2011","ari","9","9","146","253","57.7","1,955","7.7","9","8","81.1","17","65","3.8","0","30","219","8","3"
"2012","ari","6","5","109","183","59.6","1,169","6.4","8","3","86.1","16","100","6.3","1","27","159","2","2"
"2013","buf","0","0","0","0","0.0","0","0.0","0","0","0.0","0","0","0.0","0","0","0","0","0"
"totals","totals","32","21","449","755","59.5","5,206","6.9","28","25","78.9","69","229","3.3","2","77","517","19","10"
