"club","season","league","league","fa cup","fa cup","league cup","league cup","league trophy","league trophy","total","total"
"club","season","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"brighton & hove albion","2000-01","0","0","0","0","0","0","1","0","1","0"
"brighton & hove albion","2001-02","0","0","0","0","0","0","0","0","0","0"
"brighton & hove albion","2002-03","4","0","0","0","1","1","-","-","5","1"
"brighton & hove albion","2003-04","0","0","0","0","0","0","0","0","0","0"
"brighton & hove albion","2004-05","30","4","0","0","0","0","-","-","30","4"
"brighton & hove albion","2005-06","41","4","1","0","1","0","-","-","43","4"
"brighton & hove albion","2006-07","37","8","3","1","2","0","4","2","46","11"
"brighton & hove albion","2007-08","24","5","3","1","1","0","2","0","30","6"
"brighton & hove albion","total","136","21","7","2","5","1","7","2","155","26"
"aldershot town","2003-04","7","0","0","0","0","0","-","-","7","0"
"aldershot town","total","7","0","0","0","0","0","-","-","7","0"
"leyton orient","2003-04","8","0","1","0","0","0","0","0","9","0"
"leyton orient","total","8","0","1","0","0","0","0","0","9","0"
"colchester united","2007-08","13","0","0","0","0","0","-","-","13","0"
"colchester united","2008-09","41","5","0","0","2","0","4","0","47","5"
"colchester united","2009-10","2","0","0","0","1","0","0","0","5","0"
"colchester united","total","56","5","0","0","3","0","4","0","63","5"
"southampton","2009-10","40","5","4","1","1","0","5","0","49","6"
"southampton","2010-11","41","4","3","0","2","0","1","0","47","4"
"southampton","2011-12","43","1","3","0","2","0","0","0","48","1"
"southampton","total","124","10","10","1","5","0","6","0","145","11"
"brighton & hove albion","2012-13","37","2","2","0","0","0","-","-","39","2"
"brighton & hove albion","total","37","2","2","0","0","0","-","-","39","2"
"leicester city","2013-14","29","1","1","0","2","0","-","-","32","1"
"leicester city","2014-15","12","0","0","0","0","0","-","-","12","0"
"leicester city","2015-16","0","0","0","0","1","0","-","-","1","0"
"leicester city","total","41","1","1","0","3","0","-","-","45","1"
"career total","career total","405","39","21","3","15","1","17","2","465","45"
