"","name","term","regular season","regular season","regular season","regular season","regular season","playoffs","playoffs","playoffs","playoffs","achievements","reference"
"","name","term","gc","w","l","t","win%","gc","w","l","win%","achievements","reference"
"cleveland rams","cleveland rams","cleveland rams","cleveland rams","cleveland rams","cleveland rams","cleveland rams","cleveland rams","cleveland rams","cleveland rams","cleveland rams","cleveland rams","cleveland rams","cleveland rams"
"1","damon wetzel","1936","9","5","2","2",".667","-","none","none","none","none","none"
"2","hugo bezdek","1937-1938","14","1","13","0",".071","-","none","none","none","none","none"
"3","art lewis","1938","8","4","4","0",".500","-","none","none","none","none","none"
"4","dutch clark","1939-1942","44","16","26","2",".386","-","none","none","none","none","none"
"none","none","1943","none","none","none","none","none","none","none","none","none","none","none"
"5","buff donelli","1944","10","4","6","0",".400","-","none","none","none","none","none"
"6","adam walsh","1945-1946","21","15","5","1",".738","1","1","0","1.000","1945 pro nfl coach of the year","none"
"los angeles rams","los angeles rams","los angeles rams","los angeles rams","los angeles rams","los angeles rams","los angeles rams","los angeles rams","los angeles rams","los angeles rams","los angeles rams","los angeles rams","los angeles rams","los angeles rams"
"7","bob snyder","1947","12","6","6","0",".500","-","none","none","none","none","none"
"8","clark shaughnessy","1948-1949","24","14","7","3",".646","1","0","1",".000","none","none"
"9","joe stydahar","1950-1952","25","17","8","0",".680","3","2","1",".667","none","none"
"10","hamp pool","1952-1954","35","23","10","2",".686","1","0","1",".000","1952 sporting news nfl coach of the year","none"
"11","sid gillman","1955-1959","60","28","31","1",".475","1","0","1",".000","none","none"
"12","bob waterfield","1960-1962","34","9","24","1",".279","-","none","none","none","none","none"
"13","harland svare","1962-1965","48","14","31","3",".323","-","none","none","none","none","none"
"14","george allen","1966-1970","70","49","17","4",".729","2","0","2",".000","list 1967 ap nfl coach of the year 1967 sporting news nfl coach of the year 1967 upi nfl coach of the year","none"
"15","tommy prothro","1971-1972","28","14","12","2",".536","-","none","none","none","none","none"
"16","chuck knox","1973-1977","70","54","15","1",".779","8","3","5",".375","list 1973 ap nfl coach of the year 1973 sporting news nfl coach of the year 1973 pro football weekly nfl coach of the year 1973 upi nfc coach of the year","none"
"17","ray malavasi","1978-1982","73","40","33","0",".548","6","3","3",".500","none","none"
"18","john robinson","1983-1991","143","75","68","0",".524","10","4","6",".400","none","none"
"-","chuck knox","1992-1994","48","15","33","0",".313","-","none","none","none","none","none"
"st. louis rams","st. louis rams","st. louis rams","st. louis rams","st. louis rams","st. louis rams","st. louis rams","st. louis rams","st. louis rams","st. louis rams","st. louis rams","st. louis rams","st. louis rams","st. louis rams"
"19","rich brooks","1995-1996","32","13","19","0",".406","-","none","none","none","none","none"
"20","dick vermeil","1997-1999","48","22","26","0",".458","3","3","0","1.000","list 1999 ap nfl coach of the year 1999 sporting news nfl coach of the year 1999 pro football weekly nfl coach of the year 1999 maxwell football club nfl coach of the year","none"
"21","mike martz","2000-2005","85","53","32","0",".624","7","3","4",".429","none","none"
"22","joe vitt","2005","11","4","7","0",".364","-","none","none","none","none","none"
"23","scott linehan","2006-2008","36","11","25","0",".306","-","none","none","none","none","none"
"24","jim haslett","2008","12","2","10","0",".167","-","none","none","none","none","none"
"25","steve spagnuolo","2009-2011","48","10","38","0",".208","-","none","none","none","none","none"
"26","jeff fisher","2012-2015","64","27","36","1",".430","-","none","none","none","none","none"
"los angeles rams","los angeles rams","los angeles rams","los angeles rams","los angeles rams","los angeles rams","los angeles rams","los angeles rams","los angeles rams","los angeles rams","los angeles rams","los angeles rams","los angeles rams","los angeles rams"
"-","jeff fisher","2016","13","4","9","0",".308","-","none","none","none","none","none"
"27","john fassel","2016","3","0","3","0",".000","-","none","none","none","none","none"
"28","sean mcvay","2017-present","32","24","8","0",".750","3","2","1",".667","2017 ap nfl coach of the year","none"
